Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11_rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS25,CMVS24_rc,CMVS25_rc,CMVS26_rc
38,0,28,1, , ,2,1,1,5,8,9,3,1,17,2,4,1,0,1,3,3,5,2,2,5,6,4,4,3,6,3,5,1,4,2,2, ,4,4,2,3,5,5,3,6,5,1
40,0,31,3, , ,4,2,1,5,11,1,1,1,27,2,1,1,0,1,4,4,3,4,4,5,1, ,1,1,2,5,4,3,4,4,3,3,2,2,3,2,3,4,4,4,4,6
44,0,29,3, , ,4,4,1,3,9,5,5,1,18,2,4,2,5,1,5,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,4,3,4,2
49,0,36,8, , ,4,4,1,4,10,8,30,1,18,2,5,5,3,1,3,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,2,7,6,6
50,0,23,2, , ,4,6,1,2,9,8,3,1,17,2,2,1,14,1,3,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,5,3,3,4
51,0,27,3, , ,5,1,1,5,11,11,0,2, ,2,1,1,0,1,5,5,5,5,6,5,6,5,4,5,3,5,4,5,5,5,5,4,4,2,3,4,5,6,3,3,5,4
67,0,37,3, , ,3,1,1,5,7,1,2,1,21,2,2,2,10,1,4,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,7,2,1,2
72,0,29,2, , ,4,3,1,2,10,10,2,1,28,2,1,1,1,1,4,2,3,2,3,2,3,4,3,2,2,5,2,3,4,3,2,3,4,3,2,3,4,3,3,6,5,4
92,0,34,1,6, ,1,7,1,5,10,1,5,1,16,2,20,0,0,1,3,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,1,4,7,1
102,0,49,1, , ,5,7,1,5,10,9,6,1,21,2,4,4,100,1,4,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,3,4
106,0,29,1, , ,4,1,1,4,11,1,5,1,15,2,5,1,30,1,2,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,6,3,2,3
123,1,24,3, , ,4,6,1,2,10,8,1,1,23,1,1,1,1,1,5,6,2,3,4,5,3,4,6,4,2,5,4,5,2,3,4,5,4,2,3,4,5,6,3,4,5,4
132,1,24,1, , ,4,7,1,5,11,10,1,1,21,1,1,1,1,1,5,6,5,6,4,6,5,5,5,4,2,3,4,5,4,6,5,5,6,5,5,4,5,5,5,3,3,5
161,1,29,2, , ,4,6,1,5,10,8,2,1,19,1,2,1,5,1,5,3,1,2,3,2,1,2,2,1,1,6,3,2,2,1,2,3,1,2,2,3,2,1,1,6,7,6
181,1,27,2, , ,4,1,2, , , ,5,1,21,1,1,1,6,1,4,3,4,4,3,4,3,4,2,2,4,5,4,3,2,2,3,2,1,4,3,2,2,2,2,5,6,5
200,1,31,2, , ,3,1,1,5,10,10,3,1, ,1,1,1,1,1,5,2,3,2,1,2,2,1,2,2,3,6,3,2,3,2,1,2,2,2,2,3,2,3,1,7,7,6
215,1,58,1, , ,3,2,2, , , ,10,1,17,1,10,0,0,1,3,4,4,5,4,4,5,5,5,5,5,6,5,5,5,5,5,5,3,2,4,4,4,4,2,4,6,3
217,1,28,3, , ,5,7,1,4,10,9,5,1,18,1,5,3,4,1,4,1,3,2,2,3,2,2,3,2,2,7,2,1,1,2,2,1,2,2,2,2,1,2,2,6,6,6
224,1,43,2, , ,4,2,1,5,10,2, ,2, ,1,2,1,1,1,4,4,5,6,6,6,5,5,6,6,3,4,4,4,3,4,5,4,3,4,3,3,3,3,4,4,4,5
236,1,27,2,3, ,4,3,1,2,7,8, ,1,27,1,1,1,3,1,4,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,7,4,1,3
241,1,27,1, , ,4,6,1,4,10,10,1,1,24,1,1,1,1,1,5,7,5,5,5,5,5,7,5,4,5,3,7,6,6,7,5,6,7,7,4,5,5,5,4,3,4,3
257,1,31,3, , ,5,1,1,5,9,10,1,2, ,1,1,1,0,1,4,5,6,6,6,6,5,6,6,5,6,3,4,6,4,3,5,5,6,6,5,4,6,6,3,4,5,3
263,1,56,1, , ,4,3,1,3,6,8,4,1,27,1,3,1,2,1,4,3,4,6,4,5,6,5,5,6,6,6,6,6,3,2,2,5,6,6,3,4,6,3,6,4,2,2
272,1,29,3, , ,5,1,1, ,8,8,2,1,20,1,2,2,2,1,4,2,3,2,3,5,3,2,3,3,3,6,2,2,3,3,2,3,2,5,5,2,3,3,2,5,6,5
275,1,29,3, , ,4,2,1,5,8, ,2,1,21,1,2,2,0,1,5,3,5,2,4,3,2,4,3,4,4,6,3,1,3,4,3,2,3,2,1,3,5,6,3,5,5,4
279,1,44,6, , ,5,6,1,5,9,1,3,2, ,1,3,3,0,1,4,5,5,5,4,5,1,3,3,3,4,4,7,7,6,5,1,2,4,4,5,5,5,4,2,6,6,6
288,1,28,1, , ,2,2,1,5,7,2,3,1,18,1,10,15,10,1,2,6,6,6,6,6,6,6,7,7,7,6,2,3,2,7,7,7,1,1,7,7,7,7,3,5,5,6
310,0,26,1, , ,4,2,1,4,9,9,1,2, ,2,1,1,3,1,3,3,2,5,4,6,2,4,5,3,4,6,1,2,6,3,4,2,3,2,3,1,6,4,2,1,6,4
311,0,29,7, , ,5,3,1,5,5,5,1,1,20,2,1,1,6,1,5,3,3,3,4,4,3,2,4,4,4,5,3,2,3,4,4,5,4,3,2,3,4,3,2,5,6,4
313,0,33,1, , ,4,7,1,5,8,1,5,1,20,2,16,1,2,1,2,5,4,6,4,3,4,5,4,5,4,5,4,6,4,3,5,3,5,4,5,3,4,5,4,4,4,4
319,0,35,1, , ,4,2,3, , , ,2,1,22,2,1,0,0,1,2,2,6,3,2,6,1,7,3,5,3,4,7,6,3,5,6,5,2,3,6,4,3,5,5,4,3,4
325,0,25,3, , ,4,5,1,4,10,7,3,1,20,2,2,3,2,1,3,4,2,1,3,4,5,2,4,3,3,7,3,4,2,1,3,4,3,3,2,2,3,4,2,6,6,5
327,0,28,3, , ,4,1,1,2,6,8,3,1,18,2,2,2,2,1,4,4,3,3,3,3,4,3,3,5,5,3,6,5,3,6,4,4,5,5,5,5,4,5,5,4,3,4
344,0,30,3, , ,5,1,1,4,6,5,2,1,18,2,3,1,1,1,4,5,4,3,4,5,5,4,4,3,3,4,5,5,4,4,3,4,5,5,4,3,4,5,4,3,4,5
356,0,37,2, , ,4,2,1,5,7,8,3,1,21,2,4,4,1,1,3,4,2,3,3,4,3,2,3,4,3,6,3, ,5,2,3,2,3,3,2,5,3,2,3,6,5,5
367,0,28,2, , ,4,1,1,5,10,11,2,1,21,2,3,1,35,1,3,4,3,7,6,5,7,7,6,6,7,2,1,1,2,1,4,2,4,5,4,3,3,4,7,1,1,4
376,0,28,2, , ,3,3,1,5,7,9,3,1,22,2,2,1,1,1,4,4,3,5,6,6,5,3,5,4,6,4,6,4,4,5,3,5,3,5,3,4,6,3,4,2,4,3
379,0,27,6, , ,4,7,1,5,11,1,3,1,16,2,7,6,8,1,5,1,1,2,2,2,2,7,6,4,2,2,1,1,2,7,7,7,1,1,1,1,6,1,7,1,1,1
384,0,29,6, , ,4,6,1,5,7,3,1,1,18,2,1,1,1,1,3,2,1,2,4,3,1,3,1,2,3,7,2,2,1,3,2,2,3,3,4,2,3,3,1,5,7,7
28,0,33,3, , ,4,4,1,5,8,1,2,1,18,2,2,1,1,1,5,4,2,3,2,1,3,4,3,3,4,6,4,2,3,2,1,3,4,4,2,3,2,2,4,7,4,6
30,0,35,3, , ,4,1,2, , , ,4,1,14,2,1,1,0,1,4,1,1,1,1,1,4,2,4,4,4,5,3,3,2,4,4,4,1,1,2,2,4,4,2,5,6,2
33,0,27,3, , ,4,1,1,5,9, ,1,1,22,2,1,1,3,1,4,3,4,4,2,3,3,4,2,3,3,5,4,5,2,4,3,3,4,3,2,2,3,4,4,5,4,6
35,0,42,3, , ,4,2,1,5,11,1,1,1,30,2,1,1,0,1,5,4,4,4,6,4,7,1,1,4,2,2,1,1,1,4,4,7,4,4,2,4,7,4,5,4,3,7
110,0,29,3, , ,4,1,1,3,9,1,1,1,28,2,1,1,3,1,4,2,1,2,2,2,1,4,3,1,3,7,1,2,1,1,3,1,1,4,1,5,2,1,4,6,4,6
115,0,36,1, , , ,8,1,5,11,11,5,1,17,2,5,1,1,1,5,6,7,5,7,5,6,5,6,7,6,1,5,7,5,5,6,6,5,4,6,5,7,5,5,2,3,4
122,1,26,3, , ,4,1,1,4,9,2,2,1,25,1,1,1,3,1,3,2,3,5,4,4,2,4,5,4,5,7,5,4,7,6,5,5,6,6,5,6,5,4,3,6,5,6
129,1,41,1, , ,4,3,2, , , ,4,1,18,1,2,0,0,1,4,4,3,3,5,2,3,3,4,5,3,2,7,3,5,5,4,5,2,2,3,4,5,1,5,2,3,3
140,1,44,1, , ,1,1,1,5,9,1,3,1,16,1,3,1,0,1,2,2,2,3,7,3,7,7,7,7,7,6,7,1,1,7,7,7,2,3,3,1,7,2,7,1,1,1
145,1,29,3, , ,4,1,1,4,9,1,2,2, ,1,0,0,0,1,4,6,5,3,5,7,5,4,2,4,5,4,4,3,5,4,6,4,5,7,4,2,1,3,4,1,4,3
183,1,58,1, , ,3,1,1,5,9,1,3,1,18,1, ,0,2,1,2,3,3,3,4,3,7,6,7,7,7,7,7,1,4,7,7,7,3,7,3,1,1,1,7,5,1,1
197,1,41,1, , ,4,6,2, , , ,6,1,17,1,5,1,2,1,5,3,2,2,2,2,4,5,3,4,2,4,4,2,5,5,4,4,2,2,4,2,3,3,5,2,3,5
249,1,66,1, , ,2,3,1,5,11,1,2,1,21,1,2,2,2,1,2,4,5,5,6,6,6,2,4,5,5,7,7,1,1,7,7,7,7,7,7,4,7,7,7,1,1,1
306,0,38,3, , ,4,1,1,4,9,6,10,1,27,2,1,1,4,1,3,6,7,7,6,6,7,7,6,7,7,3,6,5,6,4,5,6,6,6,7,7,5,6,6,3,2,3
315,0,29,3, , ,4,4,1,2,8,6,10,1,26,2,1,1,4,1,3,2,4,3,7,5,7,3,4,7,3,3,4,7,6,3,5,4,7,3,7,5,7,6,5,5,3,1
317,0,29,3, , ,5,5,1,5,10,8,5,1,14,2,12,5,4,1,4,6,5,4,6,5,4,5,6,4,5,2,4,6,5,4,6,5,4,3,2,3,2,2,2,6,6,6
330,0,25,2, , ,4,7,1,2,7,7,5,1,18,2,5,2,2,1,4,4,5,6,5,6,5,6,5,6,4,3,6,5,6,5,6,5,6,4,5,6,5,6,6,3,2,3
332,0,34,1, , ,4,7,1,5,9,1,5,1,18,2,11,2,2,1,3,2,4,3,3,3,4,5,4,5,5,5,1,1,2,5,7,5,2,1,3,3,3,3,4,2,4,2
333,0,29,3, , ,5,1,1,4,7,6,2,2, ,2,3,1,2,1,4,5,4,3,4,5,5,4,3,4,3,4,5,5,4,3,4,3,5,3,4,5,5,4,4,5,4,3
348,0,47,2, , ,5,2,1,5,10,1,1,1,27,2,1,1,1,1,4,4,3,5,6,4,7,3,3,3,3,2,2,1,2,4,4,5,3,4,3,5,5,5,6,2,2,4
351,0,30,3, , ,5,1,1,4,7,7,1,1,16,2,2,2,2,1,5,6,5,6,5,5,5,6,6,6,5,3,5,6,6,5,4,5,4,5,5,7,6,6,5,2,3,2
352,0,33,3, , ,4,4,1,5,11,1,4,1,16,2,2,1,10,1,5,3,2,4,3,2,2,3,3,2,4,6,3,4,2,3,1,2,2,3,1,3,1,1,3,4,5,4
370,0,56,1, , ,2,5,1,5,8,1,20,1,18,2,30,1,10,1,1,3,3,5,5,3,5,5,5,5,5,5,2,2,3,5,5,5,4,4,5,5,5,5,5,3,3,3
372,0,28,3, , ,5,3,1,4,9,2,2,2, ,2,0,0,0,1,4,3,3,4,6,3,5,5,3,4,4,4,4,3,5,4,3,4,5,4,3,4,5,4,4,5,4,4
377,0,28,3, , ,4,4,1,5,9,2,2,1,19,2,2,1,0,1,4,3,2,2,2,2,3, ,1,3,2,3,3,2,3,5,6,7,3,3,3,2,3,4,4,2,4,3
21,0,30,2, , ,3,5,1,5,10,1,5,1,14,2,25,1,7,1,4,6,6,6,6,6,5,5,4,5,5,5,6,6,5,4,4,4,6,6,6,6,6,6,5,6,3,5
22,0,30,3, , ,5,6,1,5,11,1,1,2, ,2,1,1,12,1,4,5,3,5,5,5,6,2,1,1,2,3,2,2,1,2,5,2,3,5,3,3,3,5,6,1,2,3
23,0,30,1, , ,2,2,2, , , ,1,1,28,2,1,0,0,1,3,3,3,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,7,7,7,3,2,5,7
24,0,30,3, , ,4,1,1,5,7,2,1,2, ,2,0,0,0,1,4,5,4,5,5,6,7,3,5,5,5,2,5,6,6,7,5,6,6,5,5,5,6,6,5,3,3,2
25,0,25,3, , ,4,1,1,2,10,2,2,1,25,2,2,2,3,1,5,2,1,2,2,2,3,1,2,2,3,6,2,1,1,1,1,2,1,1,1,1,2,2,2,2,6,2
26,0,29,3, , ,4,2,1,5,9,1,3,1,19,2,3,2,6,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,4,1,4,1
27,0,24,2, , ,4,3,1,3,9,3,6,1,18,2,8,3,12,1,5,2,1,2,3,2,4,6,5,4,3,3,7,7,7,7,7,7,1,2,3,2,3,4,5,2,3,1
29,0,35,1,2, ,4,3,1,5,10,1,3,1,15,2,3,1,6,1,3,4,4,4,7,4,7,5,5,5,5,4,7,4,4,7,7,7,1,1,5,4,4,5,1,1,7,1
31,0,22,1, , ,5,2,1,5,9,3,3,2, ,2,1,3,3,1,4,3,4,4,3,5,6,6,4,5,4,3,5,6,5,4,3,4,5,3,5,4,3,2,4,4,4,3
32,0,34,1, , ,4,6,2, , , ,55,1,11,2,160,4,25,1,4,2,2,2,2,2,2,6,6,4,5,6,7,7,7,7,7,7,4,4,2,1,1,1,7,1,1,1
34,0,32,4, , ,4,1,1,5,10,1,5,1,27,2,1,1,8,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
36,0,49,1, , ,3,5,1,5,8,2,10,1,16,2,20,1,2,1,3,6,5,5,6,5,5,4,4,4,4,5,3,5,5,3,2,3,5, ,5,5,6,6,3,6,5,5
37,0,34,1, , ,4,8,1,5,10,2,10,1,17,2,15,1,8,1,3,3,3,4,5,4,4,3,3,3,3,4,1,2,3,6,6,4,1,1,4,3,4,2,2,1,6,2
39,0,26,3, , ,5,2,1,3,8,2,3,2, ,2,2,1,0,1,5,3,2,2,3,2,2,2,2,3,3,4,2,2,1,4,4,4,3,2,2,2,1,4,2,5,6,4
41,0,33,3, , ,4,3,1,5,10,3,3,1,21,2,3,1,25,1,5,2,1,2,2,1,2,1,2,1,2,7,1,1,2,1,3,1,2,1,1,1,6,6,2,6,6,6
42,0,32,1, , ,4,6,2, , , ,5,1,18,2,23,19,3,1,5,1,1,1,1,1,2,1,1,1,1,2,1,1,4,6,7,4,2,1,2,1,1,1,4,1,4,4
43,0,29,3, , ,5,3,1,5,11,1,1,1,25,2,1,1,2,1,4,6,6,4,1,4,7,5,5,4,5,5,7,7,7,1,1,1,7,7,5,5,4,7,1,7,7,7
45,0,70,1, , ,3,2,2, , , ,23,1,18,2,12,0,0,1,3,3,2,3,5,4,5,4,3,2,5,6,1,1,2,4,5,5,1,1,3,5,6,3,2,2,6,1
46,0,45,3, , ,5,6,1,5, ,3,1,1,24,2,1,1,8,1,4,2,2,2,6,3,4,3,2,3,2,2,2,2,2,5,6,6,2,3,2,4,3,3,4,2,4,2
47,0,32,1, , ,4,6,1,5,9,1,3,1,21,2,1,1,7,1,3,3,5,5,2,5,1,3,3,5,5,6,7,7,7,1,1,3,7,7,5,5,3,5,6,6,2,5
48,0,65,1, , ,4,2,2, , , ,5,1,17,2,200,3,2,1,3,2,3,3,4,2,5,6,6,4,3,6,7,1,1,6,7,7,1,1,3,2,6,6,2,1,6,5
52,0,32,1, , ,5,7,1,5,10,2,7,1,17,2,12,1,15,1,4,2,2,3,4,2,4,5,5,5,3,2,3,2,2,5,5,3,2,2,2,2,3,4,3,2,5,3
53,0,40,1, , ,4,7,1,5,11,1,15,1,18,2,23,1,9,1,4,2,2,3,3,2,3,3,3,3,3,4,7,2,3,6,4,5,1,2,3,2,2,2,4,3,4,3
54,0,51,1, , ,5,8,1,5,10,1,7,1,16,2,7,1,0,1,3,4,4,6,7,4,7,7,7,7,7,1,1,1,7,7,7,7,2,3,6,2,7,3,1,1,7,1
55,0,40,1, , ,5,6,2, , , ,7,1,25,2,4,0,0,1,3,4,4,4,4,4,4,5,5,5,5,5,3,2,4,6,7,7,2,2,4,2,3,5,2,5,6,4
56,0,34,1, , ,4,9,1,5,10,1,10,1,17,2,18,1,2,1,4,2,2,2,4,2,6,4,4,4,3,2,2,3,4,3,6,6,2,3,3,6,4,5,6,2,2,2
57,0,22,6, , ,4,6,2, , , ,9,1,14,2,4,0,0,1,2,3,2,3,4,4,5,3,4,5,5,3,2,3,2,6,6,5,1,1,4,3,3,3,5,3,3,2
58,0,45,1, , ,4,7,1,5,9,2,20,1,12,2,25,1,12,1,3,6,6,7,6,6,7,6,6,6,6,6,3,2,2,6,7,7,1,1,7,6,7,7,1,7,7,7
59,0,54,1, , ,2,4,2, , , ,12,1,15,2,45,2,0,1,2,5,3,6,6,5,7,4,4,4,7,5,4,3,3,5,6,6,2,2,5,3,4,5,2,4,6,4
60,0,66,2,3, ,4,1,1,5,7,1,6,1,24,2,13,1,5,1,1,1,1,1,1,1,2,2,3,2,3,5,1,2,2,3,4,3,2,1,1,2,2,2,4,2,4,4
61,0,76,1, , ,5,4,2, , , ,45,1,18,2,25,0,0,1,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,7,7,7,4,4,6,4,4,5,4,1,4,4
62,0,59,1, , ,4,2,2, , , ,9,1,16,2,14,1,0,1,4,3,3,4,5,4,6,4,4,4,4,5,1,2,2,6,6,6,3,3,5,4,3,4,3,2,5,2
63,0,35,4, , ,2,6,1,5,11,1,10,1,15,2,12,1,8,1,2,3,3,4,3,4,7,3,2,4,3,1,1,2,4,7,7,7,1,1,6,3,6,4,7,1,1,1
64,0,46,1, , ,5,3,1,5,8,2,7,1,20,2,10,1,4,1,4,4,4,4,4,4,6,6,6,6,6,6,5,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4
65,0,48,1, , ,4,3,1,5,1,10,3,1,20,2,3,1,0,1,2,2,2,5,4,1,1,7,7,7,7,7,1,1,1,7,7,7,2,2,2,2,7,1,6,1,2,2
66,0,36,1, , ,4,4,2, , , ,5,1,23,2,2,0,0,1,3,1,1,1,1,1,1,2,1,1,1,1,5,5,4,1,1,1,3,2,1,1,1,1,5,3,3,4
68,0,28,1, , ,5,6,1,5,10,1,6,1,18,2,4,1,1,1,3,5,6,5,2,6,1,6,6,7,6,7,7,7,7,1,1,3,7,7,2,1,1,4,7,7,1,7
69,0,53,1, , ,2,3,1,5,11,1,1,1,19,2,1,1,5,1,2,3,6,6,7,6,7,5,5,5,7,5,1,3,4,7,7,7,3,3,7,4,7,5,4,1,4,1
73,0,35,1, , ,2,6,1,5,11,1,6,1,16,2,12,1,2,1,5,3,2,3,5,3,7,3,3,2,3,3,1,1,1,4,3,4,1,1,2,3,3,4,2,3,6,3
74,0,69,1, , ,4,2,1,5,11,1,5,1,18,2,3,1,2,1,4,6,6,6,2,6,2,4,5,5,3,5,2,1,1,6,3,5,4,4,3,3,3,3,4,2,4,2
75,0,30,1, , ,2,2,1,5,9,1,20,1,16,2,20,1,15,1,3,6,6,5,3,6,1,7,6,7,5,7,4,7,6,1,1,1,4,4,6,7,5,7,1,7,7,7
76,0,30,1, , ,5,8,1,5,10,1,5,1,16,2,16,1,10,1,4,2,2,2,3,2,3,3,3,3,2,2,2,1,2,5,5,6,2,2,2,2,2,2,2,6,6,2
77,0,25,3, , ,5,2,1,4,11,1,4,1,19,2,2,1,2,1,5,3,2,4,3,3,2,4,2,3,3,4,3,2,2,3,2,3,2,3,2,2,2,2,2,5,6,6
78,0,34,2, , ,5,7,2, , , ,2,1,21,2,2,0,0,1,3,7,7,7,7,6,6,7,6,7,6,6,4,4,4,6,7,6,2,2,7,6,7,7,1,6,7,6
79,0,27,3, , ,4,3,1,4,11,1,4,1,18,2,10,2,15,1,5,2,1,2,3,2,3,4,4,4,5,1,1,1,1,6,7,7,1,1,3,2,3,2,5,1,3,1
80,0,63,1, , ,4,5,1,5,11,1,10,1,19,2,15,1,12,1,3,2,3,3,4,3,6,3,5,4,3,3,2,2,2,5,6,6,2,4,5,2,6,4,5,2,3,2
81,0,33,6, , ,4,7,1,5,10,1,3,1,17,2,3,1,4,1,4,4,3,3,5,2,3,5,5,5,6,4,3,5,2,3,4,5,2,6,5,2,5,4,3,2,5,3
82,0,38,3, , ,5,1,1,5,9,2,5,1,32,2,1,1,5,1,3,2,2,5,7,2,5,2,5,4,3,6,2,2,2,2, ,5,2,2,1,2,6,3,6,3,2,3
83,0,38,3, , ,4,2,1,5,9,2,5,1,21,2,5,1,1,1,3,3,3,3,5,3,5,3,3,3,3,2,2,2,2,3,4,4,3,3,3,3,3,3,3,2,5,2
84,0,36,1, , ,2,8,1,5,11,6,4,1,21,2,4,1,20,1,5,7,7,7,7,7,7,1,1,1,1,7,7,7,7,1,1,1,7,7,7,6,7,7,1,7,7,7
85,0,25,3, , ,4,3,1,4,6,9,1,2, ,2,1,1,1,1,4,6,7,7,6,6,7,6,6,7,6,1,6,6,6,6,7,6,6,6,6,6,7,6,5,4,3,1
86,0,51,1, , ,3,4,1,4,9,2,15,1,15,2,20,1,6,1,4,3,3,3,4,3,5,4,4,4,3,3,2,2,2,5,5,5,2,2,3,2,3,3,4,3,4,3
87,0,45,1, , ,5,7,1,5,10,1,16,1,17,2,16,1,0,1,3,3,2,2,6,3,5,5,3,3,3,3,7,2,7,5,7,7,4,3,3,3,4,6,6,2,2,2
88,0,27,1, , ,4,5,1,3,9,7,2,1,16,2,1,2,1,1,4,4,6,3,6,5,3,5,3,6,3,3,3,6,4,3,6,3,5,3,5,3,6,4,3,3,5,3
89,0,36,1,5, ,2,7,1,5,11,1,10,1,15,2,50,3,20,1,5,1,1,2,3,1,4,7,2,3,2,4,1,1,1,7,7,7,1,1,1,1,1,1,6,7,2,1
