ParticipantID,SEX,ParticipantAge,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
91,0,26,5,1,2,7,7,6,6,5,4,7,6,6,7,7,2,2,3,8,8,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
93,0,31,1,4,3,2,1,6,1,1,1,1,7,1,7,4,2,2,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0,32,2,7,6,2,1,3,2,2,1,2,2,1,1,3,2,4,3,5,7,5,3,2,2,5,4,4,6,6,4,6,5,4,5,5,4,4,5,3,3,4,6,5,1
96,0,76,2,3,3,2,2,6,2,3,3,2,4,2,4,1,1,6,6,9,1,9,1,1,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
97,0,67,1,7,2,6,1,6,1,1,1,6,6,1,6,6,2,6,7,9,8,1,4,4,4,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
98,0,25,1,7,1,5,1,4,1,1,1,2,5,1,6,5,1,1,1,2,6,9,5,6,4,2,6,2,6,2,2,5,2,4,4,7,7,3,6,6,2,5,6,2,5
99,0,32,2,1,1,6,4,6,4,2,2,6,6,6,7,6,2,2,2,3,4,5,4,4,3,7,7,6,7,7,6,7,7,4,6,7,6,2,6,6,1,6,6,5,5
100,0,48,1,7,4,7,1,7,1,7,4,7,6,1,7,4,2,9,9,5,9,1,7,2,7,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
101,0,33,1,7,1,1,1,7,1,1,3,1,5,3,6,3,2,9,8,4,1,8,1,1,1,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6
103,0,33,1,7,2,2,1,5,1,2,1,4,6,1,5,5,2,2,4,8,8,4,7,6,3,5,5,5,6,6,6,7,7,4,7,7,5,3,6,6,5,6,6,2,4
104,0,27,1,3,2,4,5,6,1,2,4,4,6,1,6,2,2,2,1,3,1,8,2,2,1,6,6,5,6,7,7,4,4,4,6,7,7,5,4,4,5,3,3,1,1
107,0,36,1,7,7,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,2,7,2,3,2,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
108,0,28,6,6,2,6,2,5,2,2,2,2,2,2,3,5,1,1,1,1,1,2,3,2,2,6,6,6,6,6,3,6,5,5,5,4,6,5,5,5,5,5,5,5,6
109,0,25,1,7,1,2,1,5,1,1,1,2,7,1,7,3,2,1,1,3,1,9,1,1,1,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
111,0,25,6,4,4,5,4,5,5,6,4,5,5,5,6,5,3,2,2,5,8,3,6,6,6,5,6,5,4,5,5,5,5,6,6,4,5,5,5,5,4,5,5,6,6
112,0,49,2,2,1,7,1,7,1,6,1,7,4,1,4,2,2,1,1,4,3,5,7,7,7,7,7,6,7,5,3,3,5,7,4,7,2,6,3,3,6,5,5,1,1
113,0,28,5,2,3,2,5,6,6,7,6,6,4,5,2,3,2,2,3,3,5,9,2,3,2,6,7,5,3,7,2,5,5,6,6,6,5,6,7,6,6,4,5,6,5
114,0,36,5,3,3,3,3,6,6,6,5,5,5,5,5,6,2,6,6,9,9,1,8,7,7,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
116,0,30,6,1,3,4,6,7,6,5,6,5,5,3,4,6,3,3,3,8,8,9,6,5,6,6,7,7,7,6,5,6,6,5,7,5,6,7,6,6,5,7,7,5,5
117,0,28,5,4,1,6,5,6,7,7,7,5,7,6,6,4,2,3,3,2,4,2,7,5,7,4,6,5,7,7,5,6,6,3,6,7,7,3,5,5,7,3,6,5,7
118,0,30,5,2,3,6,5,6,5,5,6,5,6,5,6,5,2,3,2,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7
119,0,38,4,3,4,2,4,6,3,4,2,2,4,2,5,3,3,5,6,9,5,2,4,4,4,5,6,6,7,6,2,7,2,4,7,7,3,7,6,6,7,6,6,4,4
120,0,57,6,2,3,7,2,3,5,6,2,7,5,1,7,5,1,6,6,7,8,1,8,3,6,5,6,6,6,7,5,6,2,4,6,3,1,6,5,5,5,5,5,6,6
121,0,26,6,2,1,7,7,7,4,7,6,7,7,5,7,6,2,6,6,9,9,1,9,9,9,6,6,7,7,6,2,7,5,1,5,7,1,6,7,7,7,7,7,5,1
124,1,42,1,1,4,6,1,4,1,1,4,6,4,1,4,6,2,3,3,9,9,5,3,3,3,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4
125,1,40,1,2,2,6,2,5,2,2,2,6,6,2,6,6,2,1,1,1,1,8,1,1,1,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6
126,1,44,2,3,5,2,2,7,2,2,1,2,6,1,6,2,2,2,2,2,1,8,3,2,2,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6
127,1,25,5,5,6,2,5,6,4,6,5,5,4,6,4,5,2,2,2,1,1,5,5,3,3,5,6,4,3,6,1,5,6,5,4,4,6,5,3,5,6,6,4,5,6
128,1,25,4,3,2,6,5,5,4,6,3,5,7,1,7,7,2,4,4,9,9,1,3,3,1,6,6,4,4,6,5,6,6,7,7,7,7,7,7,6, ,6,7,7,1
131,1,29,1,1,1,1,1,7,1,2,4,1,7,2,7,1,2,4,2,9,5,2,9,5,3,2,6,1,2,2,4,5,1,1,1,7,1,4,2,4,5,2,7,3,1
133,1,33,3,2,4,5,2,5,3,3,2,5,4,2,4,5,2,3,3,2,1,8,2,2,1,4,5,5,6,6,4,3,4,6,6,7,5,6,5,6,6,6,6,6,6
134,1,39,2,2,2,5,2,7,2,5,3,5,6,2,4,5,2,3,3,6,4,6,2,2,3,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5
135,1,43,3,7,7,1,1,6,2,1,4,1,6,3,6,1,2,4,1,1,1,9,6,5,1,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6
136,1,28,1,1,2,5,1,4,1,1,1,4,5,1,6,4,2,1,1,5,1,9,2,1,1,6,6,7,6,7,2,7,6,7,7,7,7,5,5,4,6,5,6,3,3
137,1,39,2,6,3,5,3,6,5,6,2,5,3,5,3,5,2,2,5,2,5,3,6,4,6,5,5,7,6,6,4,7,3,7,4,6,6,6,6,6,6,6,6,5,6
138,1,27,2,3,1,5,1,7,1,1,1,7,7,1,7,5,2,4,2,7,2,6,1,1,1,6,6,6,7,6,7,7,5,7,7,1,5,7,7,7,5,4,4,3,1
139,1,50,1,3,1,1,1,3,1,1,1,1,7,1,7,7,2,1,1,1,1,9,1,1,1,7,7,3,7,7,7,1,1,1,1,7,7,3,1,6,4,2,6,1,2
141,1,27,2,6,5,3,4,4,4,4,3,4,3,4,3,4,2,2,2,9,1,1,3,4,3,7,6,6,1,7,1,6,6,6,7,7,6,7,6,6,6,6,6,5,7
142,1,52,7,2,3,7,6,7,4,7,6,7,6,3,7,7,2,9,9,9,7,1,6,4,4,2,5,6,5,3,3,5,6,7,5,7,5,2,2,2,3,5,5,2,2
143,1,27,4,3,3,5,5,5,5,4,4,4,4,4,4,4,2,2,2,1,1,1,2,2,2,5,5,5,5,5,2,7,7,4,7,7,7,5,5,5,5,5,5,5,5
144,1,32,1,1,1,7,1,7,1,1,7,7,7,7,7,7,2,3,4,3,1,9,1,1,1,5,7,7,7,7,1,1,7,4,7,7,7,7,7,7,7,7,7,5,6
146,1,57,1,7,4,7,1,5,1,1,1,7,7,1,7,6,2,1,1,5,1,6,1,1,1,5,5,7,7,7,7,7,3,7,7,7,5,7,7,7,5,5,5,6,5
147,1,42,3,1,3,5,1,7,1,2,2,4,6,2,6,2,5,2,4,9,9,1,4,5,2,5,6,6,5,5,4,4,5,6,6,5,3,6,6,6,7,6,6,5,4
148,1,63,1,4,2,1,1,5,1,1,1,1,4,1,5,5,2,1,1,2,1,9,2,1,1,5,6,5,6,7,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6
149,1,38,2,2,4,5,1,5,1,1,1,7,4,1,3,6,2,8,7,6,2,7,5,1,2,3,6,2,2,5,6,2,5,7,7,7,6,5,2,7,3,3,2,1,1
150,1,33,5,3,1,2,2,3,2,1,5,2,6,2,6,1,2,1,2,6,1,6,2,1,1,5,6,1,5,4,3,1,6,4,5,7,6,7,6,7,2,2,3,2,2
151,1,33,1,4,1,7,4,7,1,1,1,7,7,1,7,7,2,6,7,7,7,2,5,1,3,4,7,7,7,7,7,7,4,6,7,7,3,7,7,7,4,4,4,1,5
152,1,36,2,6,3,5,5,6,6,2,2,6,6,6,6,6,2,2,1,1,1,8,1,1,1,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
153,1,36,1,4,4,5,1,5,1,1,1,5,4,1,4,4,2,1,1,1,1,9,2,2,2,3,5,5,5,5,6,5,6,7,7,7,7,6,5,5,5,5,4,4,6
154,1,29,7,2,2,1,6,6,6,7,7,6,7,7,7,7,2,2,2,9,8,9,9,2,9,7,6,6,2,2,7,7,7,2,7,7,7,7,6,6,7,7,6,6,7
155,1,33,6,6,3,4,5,7,5,3,5,5,7,3,7,3,2,4,2,6,1,8,1,1,1,6,7,2,5,5,4,2,6,4,6,7,7,6,3,6,2,5,2,1,3
156,1,44,6,1,2,6,2,5,2,5,6,6,7,4,7,6,2,3,3,1,1,8,2,2,2,1,7,6,7,5,3,1,1,7,7,7,7,2,1,1,7,7,7,5,5
157,1,42,6,3,1,1,2,6,3,1,2,1,6,2,4,2,1,3,2,5,1,9,2,1,2,1,6,4,3,5,7,1,7,4,5,7,7,5,3,3,6,3,7,3,1
158,1,59,1,4,3,6,1,6,1,4,1,7,7,1,7,6,2,4,7,6,1,7,1,1,1,6,6,6,7,7, ,6,4,7,7,7,5,7,7,7,7,7,7,5,1
159,1,35,2,2,2,4,2,6,2,2,2,4,4,2,4,4,2,4,3,9,8,1,7,7,7,6,6,5,7,4,7,2,4,2,2,3,2,4,3,6,2,2,6,2,2
160,1,65,1,7,6,1,1,1,1,1,1,1,7,1,7,1,2,2,2,7,1,9,1,1,1,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,4,6
162,1,40,5,1,5,5,1,7,1,7,2,5,7,2,7,2,2,4,2,7,5,2,6,4,2,5,5,2,3,2,6,1,2,7,4,7,2,2,1,1,1,1,5,1,1
163,1,31,3,3,3,5,1,3,1,1,1,5,5,1,4,5,2,1,1,7,1,9,4,3,2,6,7,3,5,7,7,7,7,7,6,7,7,7,7,7,3,3,3,1,1
164,1,55,1,7,7,4,1,1,1,3,1,6,4,1,1,1,1,1,1,8,1,5,5,1,1,7,4,2,6,7,6,6,5,7,4,7,2,5,5,5,5,5,5,5,5
165,1,56,1,2,1,7,3,7,1,1,1,6,6,1,7,6,2,4,3,3,2,9,2,3,1,5,6,5,6,4,5,3,1,3,6,7,7,1,1,1,3,1,1,2,5
166,1,62,6,2,2,4,4,5,4,2,6,4,6,4,6,6,1,7,7,8,5,6,4,3,2,6,6,6,6,6,7,2,6,7,3,7,6,6,6,6,7,7,7,3,2
167,1,29,1,7,3,2,7,1,7,2,1,1,7,1,7,1,2,1,1,1,1,9,2,2,2,6,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
168,1,32,2,6,3,5,6,5,5,1,1,5,5,5,6,6,2,2,1,1,1,8,1,1,1,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7
169,1,26,7,1,1,7,7,7,7,7,7,7,7,7,7,7,2,2,1,1,9,9,9,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
170,1,53,1,3,3,1,1,5,1,3,4,1,6,1,6,3,2,1,1,4,1,6,2,2,1,6,6,3,5,7,5,7,7,7,7,7,6,6,6,6,5,5,5,4,3
171,1,39,2,6,2,6,2,6,2,5,2,7,6,2,6,7,2,5,8,1,1,9,5,5,5,3,5,5,6,5,2,2,2,5,5,1,7,5,5,5,5,6,5,3,3
172,1,27,2,7,3,6,2,6,2,3,2,6,6,2,7,6,2,1,1,7,5,4,3,3,2,5,5,6,5,7,5,7,7,4,7,2,7,5,5,6,3,3,5,2,4
173,1,59,2,3,2,7,3,6,3,3,3,7,5,5,5,5,2,2,1,2,2,5,3,3,1,5,3,5,5,5,5,7,7,7,6,7,6,7,7,7,6,6,6,5,5
174,1,21, , , , , , , , , , , , , , ,3,3,4,9,9,1,2,2,3,3,5,2,2,6,5,1,3,4,7,6,2,3,3,2,5,6,6,1,4
175,1,49,4,3,2,7,1,7,1,3,2,4,7,2,7,6,2,5,4,5,3,7,2,5,3,6,6,6,7,7,6,6,6,4,6,7,7,5,3,3,7,7,7,7,1
176,1,27,4,2,2,2,3,3,3,3,2,2,5,2,5,3,2,4,6,2,2,5,6,1,1,4,6,5,6,5,4,7,6,6,3,6,5,6,5,5,3,3,3,2,2
177,1,66,1,7,7,4,1,5,1,2,1,6,6,1,6,6,2,2,1,9,2,9,1,2,1,6,6,7,7,7,6,7,6,7,7,7,7,4,6,7,7,6,6,6,1
178,1,41,2,4,3,5,1,6,1,1,2,4,6,2,6,5,2,1,1,8,3,8,1,1,1,2,3,1,7,5,7,6,7,7,6,7,7,6,5,6,5,5,5,3,5
179,1,33,2,7,2,7,1,6,1,6,1,7,6,1,7,3,2,3,7,7,3,6,5,2,2,3,3,2,3,7,5,2,2,7,7,7,5,7,7,7,6,6,6,3,1
180,1,55,2,6,6,2,2,7,2,2,2,2,5,1,6,2,2,4,4,5,1,9,1,1,1,1,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,6
184,1,30,1,3,2,5,1,4,1,2,2,6,2,2,4,2,2,6,6,6,4,5,5,5,1,5,6,2,6,6,6,7,2,7,6,7,7,7,6,6,5,4,4,2,6
185,1,31,1,7,6,4,2,3,1,1,1,4,6,1,5,4,2,2,1,2,1,7,5,2,2,5,6,5,4,6,6,5,6,5,4,4,7,6,5,5,6,5,5,5,5
186,1,60,6,4,4,2,2,5,1,4,4,1,6,1,6,2,1,5,3,9,6,4,2,2,2,5,6,6,6,7,7,4,4,3,4,7,5,3,3,5,5,5, ,1,4
187,1,32,4,5,5,4,4,3,2,3,4,4,4,3,3,3,2,2,2,6,6,6,7,6,1,4,5,6,5,5,5,5,4,4,4,3,5,4,6,4,5,5,4,4,4
188,1,70,1,7,3,1,2,3,1,1,1,1,7,1,7,6,2,1,2,1,1,2,1,1,1,5,6,5,5,4,6,7,6,6,7,1,7,7,6,7,7,6,7,6,7
189,1,29,2,6,2,1,1,5,1,1,1,1,5,1,5,2,2,2,1,9,2,8,2,2,2,5,5,5,6,6,5,6,3,6,6,7,5,7,7,7,3,3,5,2,1
190,1,46,4,2,3,2,2,6,2,2,2,2,6,2,3,2,2,2,1,9,2,3,2,2,1,4,5,6,6,5,6,7,7,7,7,7,6,6,5,5,5,5,5,6,6
191,1,37,1,7,2,6,1,6,1,1,1,6,7,1,7,1,2,2,2,3,1,9,1,1,1,5,6,6,7,6,5,7,1,4,7,7,7,7,5,7,4,4,6,4,7
192,1,41,3,4,3,4,4,5,3,2,2,4,5,2,6,4,2,2,2,2,2,8,1,1,2,5,5,5,5,6,5,7,7,7,7,7,7,6,6,6,5,5,5,5,5
193,1,46,5,4,3,6,1,6,1,2,6,6,7,3,7,4,2,3,1,4,1,9,1,1,1,6,6,7,6,3,2,7,2,7,7,1,7,7,7,7,5,4,4,5,6
194,1,56,3,2,2,2,2,6,2,2,5,2,5,4,6,5,1,3,5,7,3,3,6,6,6,5,5,5,5,5,5,3,6,7,4,7,4,4,4,4,5,5,5,5,3
195,1,25,1,7,1,7,1,7,1,6,1,7,7,1,7,5,2,2,2,7,1,2,2,2,2,2,3,1,2,3,3,7,4,4,4,7,3,2,5,5,5,5,5,2,4
196,1,49,3,2,3,2,3,5,3,2,3,3,5,4,7,5,3,2,5,4,5,6,3,4,2,6,7,7,7,7,6,1,6,6,4,7,7,3,5,6,5,5,5,5,5
198,1,34,4,1,2,7,4,7,6,6,5,6,7,6,5,6,4,8,8,8,8,2,6,3,5,6,7,4,7,7,7,7,5,4,6,7,3,6,6,6,7,7,7,7,4
199,1,60,5,6,5,6,1,6,1,5,1,6,7,1,7,1,2,2,6,8,3,6,1,2,1,2,5,1,2,4,6,7,1,5,5,1,4,4,5,6,3,5,7,1,1
201,1,35,2,1,4,4,5,4,5,3,2,4,6,2,5,2,2,6,8,8,8,2,6,6,4,6,6,4,6,6,4,7,5,7,6,7,3,5,5,5,5,5,5,3,1
202,1,50,1,1,1,4,1,5,1,1,1,5,5,1,5,5,2,2,3,4,1,9,1,1,1,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,3,5
203,1,48,1,2,1,1,1,7,1,1,1,1,7,1,7,3,2,2,2,1,9,9,2,2,1,2,6,7,6,6,6,6,5,7,7,7,7,5,6,7,7,7,7,7,7
204,1,42,1,1,2,6,1,7,1,1,1,6,5,1,5,6,2,1,1,1,1,9,2,2,2,5,4,7,7,5,7,7,7,4,7,7,7,7,7,7,7,7,7,4,7
205,1,48,2,5,2,5,1,6,1,2,1,5,6,1,4,4,2,6,6,6,3,6,2,2,2,5,5,5,5,5,6,4,5,4,7,7,5,3,5,6,3,5,6,2,1
206,1,48,1,1,1,6,1,5,1,3,4,6,5,2,3,2,2,1,2,5,3,9,1,1,1,3,6,6,7,7,7,7,1,7,6,7,6,7,7,7,5,5,5,3,5
207,1,41,2,1,6,1,5,7,2,5,7,2,5,2,3,1,2,9,9,9,9,1,1,2,1,6,6,2,7,7,3,5,7,4,4,3,1,1,5,5,2,5,5,1,1
208,1,60,1,2,2,4,1,6,1,2,4,4,5,1,6,6,2,6,8,8,8,1,3,2,1,6,6,6,6,7,6,2,6,6,7,6,2,5,5,6,5,5,5,4,2
209,1,31,1,7,3,6,4,6,5,1,1,7,6,1,6,7,2,3,4,8,1,3,1,1,1,7,6,6,6,4,5,1,1,6,7,7,7,1,1,5,2,2,2,2,2
210,1,38,1,7,1,3,1,7,1,1,1,1,6,1,6,2,2,3,3,4,1,9,1,1,1,3,6,5,6,7,7,1,3,5,7,7,7,2,1,1,5,6,6,6,1
211,1,32,1,3,4,5,1,4,1,1,1,5,5,1,5,5,2,1,1,1,1,9,1,1,1,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,5,5
212,1,48,1,7,3,3,1,5,1,3,1,2,6,1,6,2,1,6,6,7,4,6,3,2,2,4,5,4,4,5,6,6,6,7,6,1,5,7,7,6,5,5,5,3,1
213,1,45,1,7,7,1,1,5,1,1,1,2,4,1,4,1,2,2,8,9,7,1,7,2,1,3,6,2,3,7,6,5,7,4,5,7,3,5,5,6,5,7,6,2,1
214,1,39,1,6,1,7,5,6,1,3,1,7,6,1,6,7,2,4,9,2,1,8,7,5,4,5,5,6,6,6,3,2,1,5,6,7,5,6,6,6,6,6,6,4,7
216,1,32,2,2,2,6,2,6,2,6,2,6,6,2,6,2,2,1,1,9,1,1,2,2,2,6,6,6,2,6,6,6,2,4,7,7,1,6,6,6,1,1,1,1,4
218,1,19, , , , , , , , , , , , , , ,1,1,1,1,1,5,1,1,1,4,1,1,1,1,6,5,1,4,4,1,1,1,1,1,1,1,1,1,3
219,1,56,2,2,3,5,1,5,1,2,6,5,6,5,6,5,2,4,4,6,3,5,2,2,2,6,6,7,7,7,6,6,1,7,4,7,5,3,5,6,2,2,2,1,2
220,1,52,7,4,1,4,1,6,1,1,1,4,7,1,4,4,2,4,4,1,1,9,1,1,1,7,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,7,7
221,1,39,3,6,3,3,2,6,3,2,3,5,2,3,6,2,2,1,1,3,2,8,2,1,2,5,6,4,6,5,4,7,7,7,7,7,6,7,4,3,6,5,6,3,2
222,1,26,2,7,3,6,2,6,2,2,2,6,7,2,7,6,2,5,4,9,9,1,2,2,2,6,7,6,7,7,5,2,1,4,7,7,5,3,2,2,6,6,5,2,2
223,1,26,6,3,3,6,6,5,4,4,6,6,5,4,4,5,2,2,2,4,5,6,5,7,6,5,6,6,5,4,4,3,3,5,5,5,5,5,4,5,6,6,5,5,4
225,1,45,1,7,7,1,1,1,1,1,1,1,1,1,1,1,2,2,2,8,5,4,2,2,3,3,3,5,4,4,4,1,1,4,7,5,4,3,1,1,1,1,2,2,2
226,1,32,1,4,3,6,1,4,1,6,1,6,7,1,6,6,2,5,5,9,5,1,6,3,5,5,5,5,3,5,5,2,5,7,6,7,3,3,3,4,5,3,3,5,4
227,1,47,3,2,3,1,4,6,5,5,4,1,7,4,7,5,2,5,6,9,9,1,4,4,5,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2
228,1,33,2,5,6,1,5,7,4,1,3,2,3,6,4,5,2,1,4,3,1,8,2,2,3,6,7,6,7,7,5,6,7,5,6,7,7,6,6,6,5,6,5,6,6
229,1,30,1,3,3,7,1,4,1,3,2,6,5,1,3,3,3,2,1,6,1,5,7,2,1,6,6,5,5,6,5,6,1,7,6,7,4,6,6,6,5,5,5,3,3
230,1,34,2,6,2,5,2,3,2,1,1,1,6,1,6,1,2,1,1,1,1,8,1,1,1,6,6,6,6,6,6,1,2,4,6,6,6,5,5,5,5,5,5,5,7
231,1,57,4,2,2,2,2,7,2,3,3,2,6,1,6,6,2,2,2,5,7,2,4,3,3,5,7,7,7,6,5,7,6,7,7,7,7,7,7,7,6,6,6,5,6
232,1,27,1,4,3,1,1,4,1,1,1,1,4,1,4,1,2,2,2,3,1,9,1,1,1,5,5,5,5,6,2,6,6,6,6,7,7,7,6,6,2,2,2,2,2
233,1,34,1,4,2,7,1,7,1,4,1,7,7,1,7,5,2,2,1,6,1,3,2,2,1,5,7,5,7,7,6,2,7,4,7,7,6,7,7,7,7,7,7,5,6
234,1,25,2,3,3,6,1,6,1,3,5,6,6,5,6,5,1,1,2,8,3,2,6,5,6,3,6,5,2,6,6,7,7,4,4,6,2,7,7,6,3,2,2,3,1
235,1,29,2,5,3,6,5,5,2,5,5,6,6,5,6,5,2,3,5,7,7,5,2,2,2,5,6,5,5,6,5,3,5,4,6,7,5,5,5,5,3,3,3,2,2
237,1,28,1,6,3,5,3,4,2,2,2,6,7,2,6,5,2,1,1,6,2,8,3,2,2,5,6,5,5,6,3,5,2,4,6,7,6,6,5,5,6,5,6,5,5
