ParticipantID,SEX,ParticipantAge,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExpect,YearsLeftLive
186,1,60,20,18,15,0,0,6,4,4,2,2,5,1,4,4,1,6,1,6,2,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,5,6,6,6,7,7,4,4,3,4,7,5,3,3,5,5,5, ,1,4,6,5
138,1,27,10,17,10,1,10,2,3,1,5,1,7,1,1,1,7,7,1,7,5,-.507406671266396,.500040728977605,-1.39039707310177,-1.04084942862055,6,6,6,7,6,7,7,5,7,7,1,5,7,7,7,5,4,4,3,1,5,40
153,1,36,3,22,1,1,5,1,4,4,5,1,5,1,1,1,5,4,1,4,4,-.507406671266396,-.401628457849034,-1.39039707310177,-1.04084942862055,3,5,5,5,5,6,5,6,7,7,7,7,6,5,5,5,5,4,4,6,5,50
196,1,49,6,15,12,2,1,3,2,3,2,3,5,3,2,3,3,5,4,7,5,-.507406671266396,-1.30329764467567,-.612600690624048,.484533354702674,6,7,7,7,7,6,1,6,6,4,7,7,3,5,6,5,5,5,5,5,5,35
370,0,56,20,18,30,1,10,5,3,3,2,5,5,2,2,3,2,6,2,6,2,.350893170676764,.500040728977605,.942992074331398,-1.80354082028217,6,6,6,6,6,6,6,5,6,5,6,5,5,5,5,4,4,4,3,3,3,20
75,0,30,20,16,20,1,15,1,7,7,1,1,5,1,1,1,1,6,1,7,1,1.20919301261993,1.40170991580424,-1.39039707310177,.484533354702674,7,7,6,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1,4, 
96,0,76,4,14,20,0,0,2,3,3,2,2,6,2,3,3,2,4,2,4,1,-3.08230619709588,-2.20496683150231,-1.39039707310177,-2.56623221194378,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3,4,20
128,1,25,5,14,5,1,0,4,3,2,6,5,5,4,6,3,5,7,1,7,7,1.20919301261993,1.40170991580424,.165195691853675,.484533354702674,6,6,4,4,6,5,6,6,7,7,7,7,7,7,6, ,6,7,7,1,4,50
147,1,42,8,14,20,4,4,3,1,3,5,1,7,1,2,2,4,6,2,6,2,.350893170676764,-1.30329764467567,-.612600690624048,-.27815803695894,5,6,6,5,5,4,4,5,6,6,5,3,6,6,6,7,6,6,5,4,4,30
210,1,38,6,17,6,1,13,1,7,1,3,1,7,1,1,1,1,6,1,6,2,.350893170676764,-1.30329764467567,-1.39039707310177,.484533354702674,3,6,5,6,7,7,1,3,5,7,7,7,2,1,1,5,6,6,6,1,4,40
232,1,27,2,17,2,1,5,1,4,3,1,1,4,1,1,1,1,4,1,4,1,.350893170676764,-.401628457849034,.165195691853675,-1.04084942862055,5,5,5,5,6,2,6,6,6,6,7,7,7,6,6,2,2,2,2,2,4,40
296,1,34,2,18,4,1,5,1,4,1,4,1,7,1,6,1,4,6,1,7,4,.350893170676764,.500040728977605,-1.39039707310177,-1.80354082028217,7,6,7,7,7,7,5,1,7,7,7,6,7,7,7,7,7,7,5,7,4,65
332,0,34,5,18,11,2,2,3,3,3,5,3,6,3,3,3,4,5,3,4,3,1.20919301261993,1.40170991580424,.942992074331398,-.27815803695894,6,6,6,7,7,5,6,6,6,6,4,5,6,6,6,7,6,6,5,2,3,45
54,0,51,7,16,7,1,0,5,1,1,7,1,5,1,7,1,7,7,1,7,7,.350893170676764,.500040728977605,.942992074331398,-.27815803695894,6,7,7,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1,3,40
59,0,54,12,15,45,2,0,5,5,2,1,5,6,5,6,5,1,5,4,5,3,.350893170676764,-.401628457849034,.165195691853675,-1.04084942862055,5,6,3,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1,3,30
65,0,48,3,20,3,1,0,1,7,6,7,1,7,1,5,3,7,4,1,4,5,1.20919301261993,1.40170991580424,.942992074331398,1.24722474636429,5,7,5,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1,3,30
74,0,69,5,18,3,1,2,1,3,3,1,1,5,1,5,1,1,7,2,7,5,-.507406671266396,-.401628457849034,.165195691853675,-1.04084942862055,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1,3,30
126,1,44,3,20,2,1,8,2,3,5,2,2,7,2,2,1,2,6,1,6,2,.350893170676764,.500040728977605,-1.39039707310177,.484533354702674,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6,3,36
133,1,33,8,16,7,1,3,3,2,4,5,2,5,3,3,2,5,4,2,4,5,.350893170676764,-1.30329764467567,-1.39039707310177,-.27815803695894,4,5,5,6,6,4,3,4,6,6,7,5,6,5,6,6,6,6,6,6,3, 
159,1,35,7,18,7,1,2,2,2,2,4,2,6,2,2,2,4,4,2,4,4,1.20919301261993,.500040728977605,.942992074331398,2.0099161380259,6,6,5,7,4,7,2,4,2,2,3,2,4,3,6,2,2,6,2,2,3,50
170,1,53,3,23,2,1,0,1,3,3,1,1,5,1,3,4,1,6,1,6,3,-2.22400635515272,-1.30329764467567,-1.39039707310177,-1.80354082028217,6,6,3,5,7,5,7,7,7,7,7,6,6,6,6,5,5,5,4,3,3,35
173,1,59,5,16,4,1,1,2,3,2,7,3,6,3,3,3,7,5,5,5,5,-.507406671266396,-1.30329764467567,-.612600690624048,-1.04084942862055,5,3,5,5,5,5,7,7,7,6,7,6,7,7,7,6,6,6,5,5,3,25
184,1,30,7,17,25,1,3,1,3,2,5,1,4,1,2,2,6,2,2,4,2,-.507406671266396,-1.30329764467567,-.612600690624048,-1.04084942862055,5,6,2,6,6,6,7,2,7,6,7,7,7,6,6,5,4,4,2,6,3,45
193,1,46,10,18,5,1,15,5,4,3,6,1,6,1,2,6,6,7,3,7,4,.350893170676764,.500040728977605,-1.39039707310177,.484533354702674,6,6,7,6,3,2,7,2,7,7,1,7,7,7,7,5,4,4,5,6,3,50
227,1,47,6,17,20,1,5,3,2,3,1,4,6,5,5,4,1,7,4,7,5,.350893170676764,.500040728977605,.165195691853675,.484533354702674,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2,3,40
228,1,33,5,19,5,1,11,2,5,6,1,5,7,4,1,3,2,3,6,4,5,.350893170676764,.500040728977605,.942992074331398,-.27815803695894,6,7,6,7,7,5,6,7,5,6,7,7,6,6,6,5,6,5,6,6,3,50
229,1,30,10,17,25,2,10,1,3,3,7,1,4,1,3,2,6,5,1,3,3,.350893170676764,-.401628457849034,.165195691853675,-1.04084942862055,6,6,5,5,6,5,6,1,7,6,7,4,6,6,6,5,5,5,3,3,3,50
240,1,39,1,21,1,1,0,1,7,1,1,1,1,1,1,1,1,7,1,1,1,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,3,40
276,1,35,3,16,11,1,15,1,7,7,1,1,1,1,5,1,1,1,1,1,1,.350893170676764,-.401628457849034,-.612600690624048,-.27815803695894,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,50
290,1,39,2,20,4,0,0,5,2,1,2,4,4,4,1,4,4,5,6,5,1,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,4,5,3,4,5,6,7,7,7,2,7,7,6,6,6,6,6,6,1,1,3,50
291,1,47,7,17,7,1,4,1,2,1,1,1,7,1,5,1,1,7,1,4,1,-.507406671266396,-.401628457849034,-.612600690624048,-1.80354082028217,5,6,7,6,7,7,1,2,2,3,7,7,1,1,1,5,5,5,1,3,3,0
297,1,38,5,18,5,1,12,1,7,3,6,3,3,1,1,1,6,5,1,5,2,.350893170676764,1.40170991580424,-1.39039707310177,1.24722474636429,3,6,6,6,7,6,7,7,7,7,1,6,6,7,6,6,6,6,6,7,5,60
298,1,44,15,16,12,1,12,5,3,2,2,2,4,2,3,2,2,6,2,6,2,-.507406671266396,-1.30329764467567,-.612600690624048,-1.04084942862055,1,5,1,1,1,6,3,7,5,2,7,7,6,5,7,5,5,6,2,2,3,16
312,0,34,2,18,2,0,0,1,2,2,7,1,6,1,2,1,7,7,1,7,5,-.507406671266396,-.401628457849034,.165195691853675,-.27815803695894,7,7,7,7,5,4,6,4,7,7,7,5,4,5,5,5,4,4,3,3,3,40
357,0,27,7,18,7,1,11,2,6,6,5,5,6,2,5,2,6,6,2,5,6,.350893170676764,.500040728977605,.165195691853675,-.27815803695894,6,6,6,6,3,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5,7,80
380,0,31,2,17,1,1,18,1,4,2,7,1,6,1,1,1,6,7,1,6,5,1.20919301261993,.500040728977605,.942992074331398,1.24722474636429,7,7,7,7,7,7,5,1,7,7,7,2,6,5,6,6,6,6,6,4,4,55
67,0,37,2,21,2,2,10,6,6,4,6,7,5,6,7,6,6,7,3,6,7,.350893170676764,-.401628457849034,.942992074331398,.484533354702674,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6,2,5
102,0,49,6,21,4,4,100,6,3,4,5,4,5,4,5,4,5,4,5,4,5,-.507406671266396,.500040728977605,.942992074331398,.484533354702674,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,6,115
181,1,27,5,21,1,1,6,6,3,4,5,5,6,4,5,6,4,7,5,5,6,-.507406671266396,1.40170991580424,.942992074331398,-.27815803695894,5,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,65
263,1,56,4,27,3,1,2,5,6,2,4,4,6,3,6,1,6,5,3,5,6,-.507406671266396,1.40170991580424,.942992074331398,1.24722474636429,6,3,5,3,5,4,6,5,3,5,5,4,5,6,3,5,3,5,3,5,2,30
288,1,28,3,18,10,15,10,1,7,3,3,1,7,1,2,1,2,3,1,3,1,-.507406671266396,-1.30329764467567,.165195691853675,-1.80354082028217,5,6,3,6,3,7,1,7,6,3,1,7,3,2,2,1,1,1,1,1,3,20
313,0,33,5,20,16,1,2,1,6,5,4,4,5,4,4,2,4,5,5,5,6,1.20919301261993,-.401628457849034,1.72078845680912,.484533354702674,4,3,2,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,4,2,40
367,0,28,2,21,3,1,35,3,3,3,6,5,5,5,6,6,5,4,4,3,4,.350893170676764,1.40170991580424,.942992074331398,-1.04084942862055,3,5,3,2,2,2,1,2,2,1,2,3,3,1,2,1,2,1,1,1,2,90
28,0,33,2,18,2,1,1,6,2,1,7,5,6,5,6,5,7,6,4,6,7,.350893170676764,1.40170991580424,.942992074331398,.484533354702674,5,6,7,6,6,1,6,7,6,6,6,5,6,6,7,6,6,5,7,6,2,55
249,1,66,2,21,2,2,2,1,7,1,7,1,4,1,1,1,7,4,4,7,1,-2.22400635515272,-1.30329764467567,-1.39039707310177,-.27815803695894,6,6,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,2,30
348,0,47,1,27,1,1,1,5,4,3,4,3,4,3,2,2,2,5,2,6,2,-1.36570651320956,-1.30329764467567,-1.39039707310177,-.27815803695894,5,6,6,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6,2,20
352,0,33,4,16,2,1,10,6,4,1,7,5,4,6,7,4,7,4,6,7,5,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,6,4,7,6,7,6,7,5,6,5,7,5,7,5,7,5,6,7,4,6,2,50
377,0,28,2,19,2,1,0,1,7,4,5,1,4,1,1,1,5,7,1,4,5,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.04084942862055,5,6,4,7,6,2,6,5,6,6,1,5,6,4,4,7,6,6,7,7,2,40
45,0,70,23,18,12,0,0,3,3,3,3,2,6,4,5,5,2,6,3,5,2,-1.36570651320956,-1.30329764467567,-.612600690624048,.484533354702674,3,5,5,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2,2,10
47,0,32,3,21,1,1,7,1,7,3,7,5,5,2,6,5,5,4,2,5,6,1.20919301261993,.500040728977605,.942992074331398,1.24722474636429,5,6,6,6,5,5,7,6,7,7,7,7,6,5,4,6,4,5,4,5,3,55
61,0,76,45,18,25,0,0,5,3,4,1,6,4,5,5,5,1,4,5,4,1,-2.22400635515272,-2.20496683150231,-1.39039707310177,-.27815803695894,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4,2,30
62,0,59,9,16,14,1,0,2,3,3,1,1,5,2,4,5,2,5,5,5,2,.350893170676764,-.401628457849034,.165195691853675,-.27815803695894,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4,2,25
73,0,35,6,16,12,1,2,2,2,2,7,1,6,7,5,2,7,5,1,6,7,1.20919301261993,.500040728977605,.165195691853675,.484533354702674,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6,2,50
93,0,31,1,21,1,1,6,1,4,3,2,1,6,1,1,1,1,7,1,7,4,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,50
101,0,33,8,14,26,1,20,1,7,1,1,1,7,1,1,3,1,5,3,6,3,1.20919301261993,1.40170991580424,.942992074331398,.484533354702674,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6,2,35
124,1,42,5,17,8,1,1,1,1,4,6,1,4,1,1,4,6,4,1,4,6,-.507406671266396,.500040728977605,.942992074331398,-.27815803695894,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4,2,30
125,1,40,3,17,2,1,6,1,2,2,6,2,5,2,2,2,6,6,2,6,6,-.507406671266396,-.401628457849034,-.612600690624048,-.27815803695894,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6,0,40
134,1,39,5,18,5,1,6,2,2,2,5,2,7,2,5,3,5,6,2,4,5,-.507406671266396,.500040728977605,.165195691853675,-.27815803695894,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5,2,40
135,1,43,4,15,4,1,8,3,7,7,1,1,6,2,1,4,1,6,3,6,1,-.507406671266396,-.401628457849034,.165195691853675,-1.04084942862055,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6,2,30
139,1,50,2,19,2,1,4,1,3,1,1,1,3,1,1,1,1,7,1,7,7,-2.22400635515272,-1.30329764467567,-1.39039707310177,-.27815803695894,7,7,3,7,7,7,1,1,1,1,7,7,3,1,6,4,2,6,1,2,2,50
142,1,52,10,14,68,1,6,7,2,3,7,6,7,4,7,6,7,6,3,7,7,-.507406671266396,-.401628457849034,.165195691853675,-1.04084942862055,2,5,6,5,3,3,5,6,7,5,7,5,2,2,2,3,5,5,2,2,2,15
151,1,33,15,16,15,1,1,1,4,1,7,4,7,1,1,1,7,7,1,7,7,1.20919301261993,.500040728977605,-.612600690624048,1.24722474636429,4,7,7,7,7,7,7,4,6,7,7,3,7,7,7,4,4,4,1,5,2,50
160,1,65,3,17,1,1,1,1,7,6,1,1,1,1,1,1,1,7,1,7,1,-2.22400635515272,-1.30329764467567, ,-.27815803695894,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,4,6,2,29
163,1,31,1,17,1,1,0,3,3,3,5,1,3,1,1,1,5,5,1,4,5,-1.36570651320956,-1.30329764467567,-.612600690624048,-2.56623221194378,6,7,3,5,7,7,7,7,7,6,7,7,7,7,7,3,3,3,1,1,2,55
165,1,56,10,17,10,1,2,1,2,1,7,3,7,1,1,1,6,6,1,7,6,.350893170676764,-1.30329764467567,-1.39039707310177,-1.04084942862055,5,6,5,6,4,5,3,1,3,6,7,7,1,1,1,3,1,1,2,5,2,20
166,1,62,35,18,25,0,0,6,2,2,4,4,5,4,2,6,4,6,4,6,6,-1.36570651320956,-1.30329764467567,-.612600690624048,-1.04084942862055,6,6,6,6,6,7,2,6,7,3,7,6,6,6,6,7,7,7,3,2,2,22
176,1,27,7,17,10,1,2,4,2,2,2,3,3,3,3,2,2,5,2,5,3,-1.36570651320956, ,-1.39039707310177,-2.56623221194378,4,6,5,6,5,4,7,6,6,3,6,5,6,5,5,3,3,3,2,2,2,73
177,1,66,3,16,1,1,4,1,7,7,4,1,5,1,2,1,6,6,1,6,6,-.507406671266396,-.401628457849034,-.612600690624048,-.27815803695894,6,6,7,7,7,6,7,6,7,7,7,7,4,6,7,7,6,6,6,1,2,30
188,1,70,1,19,2,1,2,1,7,3,1,2,3,1,1,1,1,7,1,7,6,-1.36570651320956,-1.30329764467567,-1.39039707310177,-1.80354082028217,5,6,5,5,4,6,7,6,6,7,1,7,7,6,7,7,6,7,6,7,2,5
189,1,29,5,16,3,1,2,2,6,2,1,1,5,1,1,1,1,5,1,5,2,-2.22400635515272,-1.30329764467567,-.612600690624048,-.27815803695894,5,5,5,6,6,5,6,3,6,6,7,5,7,7,7,3,3,5,2,1,2,50
192,1,41,4,21,2,1,0,3,4,3,4,4,5,3,2,2,4,5,2,6,4,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,5,5,5,5,6,5,7,7,7,7,7,7,6,6,6,5,5,5,5,5,2,20
201,1,35,20,17,40,1,1,2,1,4,4,5,4,5,3,2,4,6,2,5,2,-.507406671266396,-.401628457849034,-.612600690624048,-1.04084942862055,6,6,4,6,6,4,7,5,7,6,7,3,5,5,5,5,5,5,3,1,2,40
202,1,50,4,21,9,1,12,1,1,1,4,1,5,1,1,1,5,5,1,5,5,-.507406671266396,.500040728977605,.165195691853675,-.27815803695894,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,3,5,2,30
203,1,48,5,18,5,1,5,1,2,1,1,1,7,1,1,1,1,7,1,7,3,.350893170676764,-.401628457849034,-1.39039707310177,-.27815803695894,2,6,7,6,6,6,6,5,7,7,7,7,5,6,7,7,7,7,7,7,2,50
208,1,60,50,15,80,1,10,1,2,2,4,1,6,1,2,4,4,5,1,6,6,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,6,6,6,6,7,6,2,6,6,7,6,2,5,5,6,5,5,5,4,2,2,20
209,1,31,3,17,10,1,5,1,7,3,6,4,6,5,1,1,7,6,1,6,7,.350893170676764,.500040728977605,-1.39039707310177,-.27815803695894,7,6,6,6,4,5,1,1,6,7,7,7,1,1,5,2,2,2,2,2,2,40
211,1,32,1,23,1,1,1,1,3,4,5,1,4,1,1,1,5,5,1,5,5,-1.36570651320956,-1.30329764467567,-.612600690624048,-.27815803695894,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,5,5,2,40
212,1,48,8,16,20,1,0,1,7,3,3,1,5,1,3,1,2,6,1,6,2,-.507406671266396,-1.30329764467567,-.612600690624048,-.27815803695894,4,5,4,4,5,6,6,6,7,6,1,5,7,7,6,5,5,5,3,1,2,25
220,1,52,6,17, ,1,0,7,4,1,4,1,6,1,1,1,4,7,1,4,4,-2.22400635515272,-2.20496683150231,-1.39039707310177,-1.80354082028217,7,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,7,7,2,30
231,1,57,8,15,7,1,10,4,2,2,2,2,7,2,3,3,2,6,1,6,6,.350893170676764,.500040728977605,.165195691853675,.484533354702674,5,7,7,7,6,5,7,6,7,7,7,7,7,7,7,6,6,6,5,6,2,25
239,1,60,3,19,3,1,12,2,2,1,5,1,7,1,1,1,6,6,1,6,6,.350893170676764,-.401628457849034,.165195691853675,.484533354702674,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,30
243,1,45,50,14,30,1,10,1,4,4,4,4,6,1,4,4,4,7,4,7,4,1.20919301261993,.500040728977605,-.612600690624048,1.24722474636429,6,5,5,5,6,5,3,1,7,7,7,2,7,5,5,5,4,4,5,6,2,50
