Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
168,1,2,6,3,5,6,5,5,1,1,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7
169,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
170,1,1,3,3,1,1,5,1,3,4,1,6,1,6,3,6,6,3,5,7,5,7,7,7,7,7,6,6,6,6,5,5,5,4,3
171,1,2,6,2,6,2,6,2,5,2,7,6,2,6,7,3,5,5,6,5,2,2,2,5,5,1,7,5,5,5,5,6,5,3,3
172,1,2,7,3,6,2,6,2,3,2,6,6,2,7,6,5,5,6,5,7,5,7,7,4,7,2,7,5,5,6,3,3,5,2,4
173,1,2,3,2,7,3,6,3,3,3,7,5,5,5,5,5,3,5,5,5,5,7,7,7,6,7,6,7,7,7,6,6,6,5,5
174,1, , , , , , , , , , , , , , ,3,5,2,2,6,5,1,3,4,7,6,2,3,3,2,5,6,6,1,4
175,1,4,3,2,7,1,7,1,3,2,4,7,2,7,6,6,6,6,7,7,6,6,6,4,6,7,7,5,3,3,7,7,7,7,1
176,1,4,2,2,2,3,3,3,3,2,2,5,2,5,3,4,6,5,6,5,4,7,6,6,3,6,5,6,5,5,3,3,3,2,2
177,1,1,7,7,4,1,5,1,2,1,6,6,1,6,6,6,6,7,7,7,6,7,6,7,7,7,7,4,6,7,7,6,6,6,1
178,1,2,4,3,5,1,6,1,1,2,4,6,2,6,5,2,3,1,7,5,7,6,7,7,6,7,7,6,5,6,5,5,5,3,5
179,1,2,7,2,7,1,6,1,6,1,7,6,1,7,3,3,3,2,3,7,5,2,2,7,7,7,5,7,7,7,6,6,6,3,1
180,1,2,6,6,2,2,7,2,2,2,2,5,1,6,2,1,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,6
184,1,1,3,2,5,1,4,1,2,2,6,2,2,4,2,5,6,2,6,6,6,7,2,7,6,7,7,7,6,6,5,4,4,2,6
185,1,1,7,6,4,2,3,1,1,1,4,6,1,5,4,5,6,5,4,6,6,5,6,5,4,4,7,6,5,5,6,5,5,5,5
186,1,6,4,4,2,2,5,1,4,4,1,6,1,6,2,5,6,6,6,7,7,4,4,3,4,7,5,3,3,5,5,5, ,1,4
187,1,4,5,5,4,4,3,2,3,4,4,4,3,3,3,4,5,6,5,5,5,5,4,4,4,3,5,4,6,4,5,5,4,4,4
188,1,1,7,3,1,2,3,1,1,1,1,7,1,7,6,5,6,5,5,4,6,7,6,6,7,1,7,7,6,7,7,6,7,6,7
189,1,2,6,2,1,1,5,1,1,1,1,5,1,5,2,5,5,5,6,6,5,6,3,6,6,7,5,7,7,7,3,3,5,2,1
190,1,4,2,3,2,2,6,2,2,2,2,6,2,3,2,4,5,6,6,5,6,7,7,7,7,7,6,6,5,5,5,5,5,6,6
191,1,1,7,2,6,1,6,1,1,1,6,7,1,7,1,5,6,6,7,6,5,7,1,4,7,7,7,7,5,7,4,4,6,4,7
192,1,3,4,3,4,4,5,3,2,2,4,5,2,6,4,5,5,5,5,6,5,7,7,7,7,7,7,6,6,6,5,5,5,5,5
193,1,5,4,3,6,1,6,1,2,6,6,7,3,7,4,6,6,7,6,3,2,7,2,7,7,1,7,7,7,7,5,4,4,5,6
194,1,3,2,2,2,2,6,2,2,5,2,5,4,6,5,5,5,5,5,5,5,3,6,7,4,7,4,4,4,4,5,5,5,5,3
195,1,1,7,1,7,1,7,1,6,1,7,7,1,7,5,2,3,1,2,3,3,7,4,4,4,7,3,2,5,5,5,5,5,2,4
196,1,3,2,3,2,3,5,3,2,3,3,5,4,7,5,6,7,7,7,7,6,1,6,6,4,7,7,3,5,6,5,5,5,5,5
198,1,4,1,2,7,4,7,6,6,5,6,7,6,5,6,6,7,4,7,7,7,7,5,4,6,7,3,6,6,6,7,7,7,7,4
199,1,5,6,5,6,1,6,1,5,1,6,7,1,7,1,2,5,1,2,4,6,7,1,5,5,1,4,4,5,6,3,5,7,1,1
201,1,2,1,4,4,5,4,5,3,2,4,6,2,5,2,6,6,4,6,6,4,7,5,7,6,7,3,5,5,5,5,5,5,3,1
202,1,1,1,1,4,1,5,1,1,1,5,5,1,5,5,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,3,5
203,1,1,2,1,1,1,7,1,1,1,1,7,1,7,3,2,6,7,6,6,6,6,5,7,7,7,7,5,6,7,7,7,7,7,7
204,1,1,1,2,6,1,7,1,1,1,6,5,1,5,6,5,4,7,7,5,7,7,7,4,7,7,7,7,7,7,7,7,7,4,7
205,1,2,5,2,5,1,6,1,2,1,5,6,1,4,4,5,5,5,5,5,6,4,5,4,7,7,5,3,5,6,3,5,6,2,1
206,1,1,1,1,6,1,5,1,3,4,6,5,2,3,2,3,6,6,7,7,7,7,1,7,6,7,6,7,7,7,5,5,5,3,5
207,1,2,1,6,1,5,7,2,5,7,2,5,2,3,1,6,6,2,7,7,3,5,7,4,4,3,1,1,5,5,2,5,5,1,1
208,1,1,2,2,4,1,6,1,2,4,4,5,1,6,6,6,6,6,6,7,6,2,6,6,7,6,2,5,5,6,5,5,5,4,2
209,1,1,7,3,6,4,6,5,1,1,7,6,1,6,7,7,6,6,6,4,5,1,1,6,7,7,7,1,1,5,2,2,2,2,2
210,1,1,7,1,3,1,7,1,1,1,1,6,1,6,2,3,6,5,6,7,7,1,3,5,7,7,7,2,1,1,5,6,6,6,1
211,1,1,3,4,5,1,4,1,1,1,5,5,1,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,5,5
212,1,1,7,3,3,1,5,1,3,1,2,6,1,6,2,4,5,4,4,5,6,6,6,7,6,1,5,7,7,6,5,5,5,3,1
213,1,1,7,7,1,1,5,1,1,1,2,4,1,4,1,3,6,2,3,7,6,5,7,4,5,7,3,5,5,6,5,7,6,2,1
214,1,1,6,1,7,5,6,1,3,1,7,6,1,6,7,5,5,6,6,6,3,2,1,5,6,7,5,6,6,6,6,6,6,4,7
216,1,2,2,2,6,2,6,2,6,2,6,6,2,6,2,6,6,6,2,6,6,6,2,4,7,7,1,6,6,6,1,1,1,1,4
218,1, , , , , , , , , , , , , , ,4,1,1,1,1,6,5,1,4,4,1,1,1,1,1,1,1,1,1,3
219,1,2,2,3,5,1,5,1,2,6,5,6,5,6,5,6,6,7,7,7,6,6,1,7,4,7,5,3,5,6,2,2,2,1,2
220,1,7,4,1,4,1,6,1,1,1,4,7,1,4,4,7,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,7,7
221,1,3,6,3,3,2,6,3,2,3,5,2,3,6,2,5,6,4,6,5,4,7,7,7,7,7,6,7,4,3,6,5,6,3,2
222,1,2,7,3,6,2,6,2,2,2,6,7,2,7,6,6,7,6,7,7,5,2,1,4,7,7,5,3,2,2,6,6,5,2,2
223,1,6,3,3,6,6,5,4,4,6,6,5,4,4,5,5,6,6,5,4,4,3,3,5,5,5,5,5,4,5,6,6,5,5,4
225,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,3,3,5,4,4,4,1,1,4,7,5,4,3,1,1,1,1,2,2,2
226,1,1,4,3,6,1,4,1,6,1,6,7,1,6,6,5,5,5,3,5,5,2,5,7,6,7,3,3,3,4,5,3,3,5,4
227,1,3,2,3,1,4,6,5,5,4,1,7,4,7,5,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2
228,1,2,5,6,1,5,7,4,1,3,2,3,6,4,5,6,7,6,7,7,5,6,7,5,6,7,7,6,6,6,5,6,5,6,6
229,1,1,3,3,7,1,4,1,3,2,6,5,1,3,3,6,6,5,5,6,5,6,1,7,6,7,4,6,6,6,5,5,5,3,3
230,1,2,6,2,5,2,3,2,1,1,1,6,1,6,1,6,6,6,6,6,6,1,2,4,6,6,6,5,5,5,5,5,5,5,7
231,1,4,2,2,2,2,7,2,3,3,2,6,1,6,6,5,7,7,7,6,5,7,6,7,7,7,7,7,7,7,6,6,6,5,6
232,1,1,4,3,1,1,4,1,1,1,1,4,1,4,1,5,5,5,5,6,2,6,6,6,6,7,7,7,6,6,2,2,2,2,2
233,1,1,4,2,7,1,7,1,4,1,7,7,1,7,5,5,7,5,7,7,6,2,7,4,7,7,6,7,7,7,7,7,7,5,6
234,1,2,3,3,6,1,6,1,3,5,6,6,5,6,5,3,6,5,2,6,6,7,7,4,4,6,2,7,7,6,3,2,2,3,1
235,1,2,5,3,6,5,5,2,5,5,6,6,5,6,5,5,6,5,5,6,5,3,5,4,6,7,5,5,5,5,3,3,3,2,2
237,1,1,6,3,5,3,4,2,2,2,6,7,2,6,5,5,6,5,5,6,3,5,2,4,6,7,6,6,5,5,6,5,6,5,5
238,1,7,2,1,6,7,6,5,7,6,5,6,7,6,5,6,6,7,3,5,6,7,6,5,7,1,1,7,7,7,7,7,6,7,6
239,1,2,2,1,5,1,7,1,1,1,6,6,1,6,6,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2
240,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7
242,1,2,4,2,4,1,4,1,1,1,4,4,1,4,5,4,5,6,5,3,5,5,5,4,6,5,7,7,6,5,6,5,5,4,4
243,1,1,4,4,4,4,6,1,4,4,4,7,4,7,4,6,5,5,5,6,5,3,1,7,7,7,2,7,5,5,5,4,4,5,6
244,1,1,6,7,2,1,1,1,1,1,1,3,1,1,1,5,4,2,5,6,4,6,6,5,4,7,4,5,4,4,4,4,4,2,4
245,1,2,3,6,2,4,2,6,3,6,4,3,2,5,6,2,5,2,5,6,6,4,6,2,7,2,4,2,5,4,2,2,3,5,1
246,1,1,3,2,4,1,5,1,3,1,5,4,1,6,3,5,5,5,5,6,7,2,4,6,5,7,5,7,6,6,2,2,2,2,2
247,1,1,4,1,4,1,7,1,1,1,5,7,1,7,1,5,6,7,7,6,7,6,5,7,7,7,7,6,6,6,7,7,7,4,4
248,1,7,3,1,7,1,7,1,3,1,7,7,1,7,5,5,7,7,7,7,5,5,5,6,7,7,3,6,5,5,5,5,5,3,3
250,1,1,3,3,4,4,4,4,1,1,1,1,1,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
251,1,2,2,1,2,2,6,2,3,4,2,6,2,5,5,2,6,4,6,6,6,6,6,7,7,7,5,6,6,6,6,7,7,4,1
252,1,2,2,3,2,1,3,1,4,3,5,5,1,5,1,6,6,6,6,5,6,5,5,4,7,7,1,5,5,5,3,6,6,1,1
253,1,2,6,3,2,4,6,4,5,2,2,3,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
254,1,5,1,1,1,6,4,5,1,6,1,5,5,7,5,7,7,4,7,7,6,7,7,7,7,7,7,7,7,7,7,7,5,4,5
255,1,1,4,2,3,1,7,1,5,1,4,7,1,7,1,7,7,7,7,7,7,5,3,7,7,7,5,7,7,7,7,7,7,5,1
256,1,6,3,2,4,5,6,6,4,7,3,5,6,5,6,5,6,5,6,6,4,7,7,4,5,6,3,7,7,6,7,7,7,6,1
258,1,1,1,3,1,1,3,1,1,2,1,7,1,6,1,6,6,7,7,7,6,7,7,7,7,7,6,7,7,7,3,3,3,2,6
259,1,1,2,1,1,1,6,1,1,1,4,7,2,6,1,6,7,5,7,7,5,5,7,7,7,7,7,6,6,6,7,7,7,4,7
260,1,1,4,3,2,3,3,1,1,1,3,4,1,4,2,3,6,6,6,6,2,6,3,7,2,7,7,7,7,7,7,7,7,5,6
261,1,3,6,3,6,1,6,1,3,2,6,7,1,7,6,6,6,6,7,7,5,7,4,7,7,7,6,7,7,6,6,6,6,5,5
262,1,5,1,1,2,2,6,2,1,1,2,7,2,7,6,6,6,7,7,6,7,6,6,4,6,7,7,7,6,6,7,6,7,4,5
264,1,6,2,2,3,6,6,6,6,6,4,6,6,6,6,6,7,6,7,6,5,6,7,7,7,7,7,7,6,7,7,7,7,7,7
265,1,3,3,3,5,3,4,3,3,3,4,5,3,4,3,6,6,4,4,5,3,5,5,1,5,7,7,7,7,7,7,7,7,3,1
266,1,2,2,2,2,2,6,2,1,5,2,5,5,5,4,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
267,1,1,3,2,6,3,7,3,5,2,7,7,3,7,5,5,6,6,6,5,7,1,5,7,7,7,6,5,1,5,5,1,5,5,6
268,1,2,2,3,3,1,5,1,1,1,3,6,1,6,5,6,6,5,5,6,6,5,3,7,7,7,7,6,5,5,3,3,3,2,2
269,1,1,7,4,5,5,6,4,4,5,3,4,5,4,5,5,5,5,5,6,5,4,5,6,4,5,4,5,3,4,5,5,4,5,4
270,1,4,3,3,6,6,6,5,5,4,6,6,6,6,6,6,5,5,4,4,3,6,6,5,4,6,6,6,6,5,5,5,5,5,2
271,1,1,4,5,2,1,6,1,5,1,2,7,1,7,2,6,6,5,7,6,7,6,6,4,7,7,6,5,5,5,3,3,3,2,1
273,1,7,7,6,3,5,6,5,1,1,2,6,1,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
274,1,1,7,7,1,1,7,7,1,1,1,7,1,7,1,6,7,7,6,6,5,1,1,6,6,7,7,1,1,1,7,7,7,1,1
276,1,1,7,7,1,1,1,1,5,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
277,1,3,6,6,3,4,3,2,4,3,2,4,3,3,4,3,4,2,4,3,2,3,5,3,3,3,2,5,2,3,3,2,4,3,2
278,1,5,1,2,4,3,6,3,1,4,3,5,3,5,4,3,5,5,5,5,3,7,1,7,6,7,4,3,3,3,6,6,6,3,5
280,1,2,1,2,4,5,5,5,2,5,4,4,6,5,5,6,5,5,6,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6
281,1,5,3,2,3,3,5,3,4,4,4,3,2,5,4,3,6,4,5,7,4,3,5,5,3,6,5,5,4,4,7,7,7,5,4
282,1,1,1,3,7,1,5,1,2,1,7,6,1,5,7,5,5,3,5,7,7,3,7,4,7,7,1,7,5,6,3,3,2,1,1
283,1,6,4,1,1,1,7,1,1,5,1,7,1,7,2,5,7,5,6,7,2,7,5,4,7,7,7,7,7,7,6,6,6,5,7
284,1,2,5,2,4,1,4,1,3,1,3,6,1,5,4,6,7,4,6,7,5,7,7,7,7,7,6,7,7,7,6,6,6,6,6
285,1,3,1,1,7,1,7,1,1,1,7,7,2,4,1,3,6,3,6,7,6,6,6,1,6,6,1,5,6,6,6,6,6,6,6
286,1,2,4,3,5,2,5,2,3,2,5,5,2,5,4,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,4,5,5
287,1,4,5,2,5,1,5,1,3,1,5,7,1,6,5,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,1
289,1,6,3,2,5,4,5,6,7,6,5,6,1,1,1,5,6,7,7,7,6,7,6,7,7,6,7,7,6,7,4,6,7,6,5
290,1,5,2,1,2,4,4,4,1,4,4,5,6,5,1,4,5,3,4,5,6,7,7,7,2,7,7,6,6,6,6,6,6,1,1
291,1,1,2,1,1,1,7,1,5,1,1,7,1,4,1,5,6,7,6,7,7,1,2,2,3,7,7,1,1,1,5,5,5,1,3
292,1,1,1,4,4,4,4,4,4,3,3,3,3,3,4,7,7,6,7,7,5,1,1,7,7,7,7,1,1,1,6,4,4,5,7
293,1,2,1,3,5,2,5,4,3,5,5,3,5,3,5,6,6,5,5,7,7,7,2,4,4,7,7,7,7,7,6,6,6,3,2
295,1,5,2,5,2,2,5,2,2,5,2,5,2,5,2,5,4,6,6,5,7,7,3,4,6,6,2,7,6,6,6,6,6,5,4
296,1,1,4,1,4,1,7,1,6,1,4,6,1,7,4,7,6,7,7,7,7,5,1,7,7,7,6,7,7,7,7,7,7,5,7
297,1,1,7,3,6,3,3,1,1,1,6,5,1,5,2,3,6,6,6,7,6,7,7,7,7,1,6,6,7,6,6,6,6,6,7
298,1,5,3,2,2,2,4,2,3,2,2,6,2,6,2,1,5,1,1,1,6,3,7,5,2,7,7,6,5,7,5,5,6,2,2
299,1,1,1,1,6,1,5,1,1,1,6,4,1,4,4,5,7,5,6,7,5,1,1,4,3,7,7,5,3,7,3,2,7,1,4
300,1,2,6,6,2,2,6,2,2,3,3,3,2,3,3,6,6,5,3,4,5,5,5,4,3,3,4,5,4,3,4,5,4,3,4
301,1,1,7,7,1,1,1,1,1,1,1,6,1,4,4,4,6,6,6,7,6,6,6,4,4,7,7,6,6,6,6,6,6,6,6
302,1,2,2,2,6,2,6,2,6,6,6,4,6,4,6,2,7,2,6,6,6,7,7,1,4,7,7,1,1,1,4,4,4,1,1
303,1,2,3,3,1,1,4,1,4,1,1,5,2,5,5,4,3,5,5,4,7,1,1,3,1,7,7,5,4,6,4,5,5,2,1
304,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,4,4,6,1,7,7,6,2,5,5,5,5,5,5
305,1,2,6,7,2,2,4,1,1,2,2,6,1,6,5,5,6,4,5,6,5,6,5,6,5,2,4,5,5,6,5,5,6,4,5
307,0,1,1,3,2,1,5,1,1,1,2,6,1,5,6,5,7,5,2,5,6,2,2,4,5,6,7,6,3,1,5,7,5,1,1
308,0,7,4,5,5,2,7,2,2,2,6,5,3,6,6,6,6,6,7,7,5,6,7,6,7,2,5,7,7,7,7,7,7,6,6
309,0,3,3,3,4,4,6,3,2,4,4,5,1,4,3,4,5,3,5,6,5,3,5,3,6,4,2,5,6,3,5,4,4,5,6
312,0,1,2,2,7,1,6,1,2,1,7,7,1,7,5,7,7,7,7,5,4,6,4,7,7,7,5,4,5,5,5,4,4,3,3
316,0,5,1,2,7,2,5,2,1,2,7,5,2,5,6,6,3,7,5,2,6,7,7,6,7,7,7,6,7,7,6,7,7,6,6
318,0,3,4,5,5,4,4,3,2,3,5,5,4,6,2,5,6,6,6,6,3,6,5,5,6,5,6,5,5,5,6,6,5,5,5
321,0,3,6,7,2,1,2,2,5,5,5,6,6,5,5,6,5,7,2,7,3,5,6,6,6,5,6,6,6,6,6,5,6,5,5
322,0,1,1,1,7,4,7,4,7,4,7,7,1,7,3,1,7,7,1,7,7,7,1,1,7,1,1,7,7,7,7,7,7,1,1
323,0,2,1,2,7,1,5,1,4,2,7,6,2,6,5,4,6,2,6,7,5,1,6,4,4,4,6,5,5,5,6,3,3,2,1
324,0,2,2,1,6,1,5,1,5,3,7,5,3,4,7,5,5,6,5,6,7,2,7,7,6,5,1,5,5,5,5,5,5,3,1
326,0,1,7,7,4,4,5,1,1,1,1,5,1,5,2,5,6,6,7,6,6,6,6,7,6,7,7,6,5,6,6,6,6,5,5
328,0,5,2,4,3,4,3,4,6,5,4,3,5,6,5,5,6,5,3,4,2,5,5,4,6,5,6,4,3,4,5,6,4,5,6
329,0,1,7,2,1,1,6,1,1,1,1,6,1,6,5,5,5,6,5,6,6,7,7,7,7,7,6,5,7,7,7,6,6,4,6
331,0,1,1,2,1,1,6,1,3,1,1,6,1,6,4,5,5,7,3,3,2,7,7,4,4,1,5,7,7,7,7,7,7,5,5
334,0,5,3,2,6,5,5,3,5,5,5,4,5,4,5,3,4,3,2,5,3,4,3,3,6,6,5,5,3,4,4,3,4,5,3
335,0,1,7,2,6,4,5,1,1,1,6,6,1,6,2,5,5,5,6,6,5,6,6,4,7,7,7,6,6,6,6,6,6,6,6
336,0,6,4,5,4,5,4,3,5,6,4,5,4,5,4,5,3,3,5,5,4,5,4,3,5,4,5,4,5,5,4,2,5,4,5
337,0,6,2,2,4,5,5,5,7,5,3,6,6,5,7,5,3,7,7,7,7,1,1,5,4,5,6,3,6,7,4,3,5,7,7
338,0,6,4,6,4,6,4,6,4,2,4,1,4,2,6,6,7,4,4,6,5,6,6,7,4,2,4,6,7,7,7,7,6,7,7
339,0,5,2,2,4,2,4,2,6,2,4,5,2,5,6,3,5,3,5,3,7,5,4,4,4,3,5,7,5,5,6,3,3,2,2
340,0,2,4,3,4,1,5,1,1,4,4,7,1,7,5,5,6,6,7,6,2,5,3,6,7,7,7,5,3,5,5,3,3,5,5
341,0,6,4,3,6,5,5,4,5,6,4,6,4,5,4,6,5,5,6,5,4,5,6,5,4,6,5,4,5,5,4,5,6,5,4
342,0,1,1,2,6,1,7,1,6,6,6,7,6,7,7,7,7,7,7,7,2,2,1,4,6,7,3,7,7,7,7,6,6,5,2
343,0,2,6,2,2,1,5,1,2,2,2,4,2,4,2,2,6,2,5,6,3,2,2,5,7,7,3,3,2,2,3,2,2,2,2
345,0,5,5,3,6,3,3,5,6,4,3,5,4,6,5,6,3,3,4,5,3,3,4,5,4,6,4,3,5,4,3,5,6,5,3
346,0,5,5,3,5,5,4,7,6,2,6,5,2,4,6,5,5,6,6,4,2,6,6,2,5,6,3,4,5,5,4,4,4,4,2
347,0,4,4,3,4,5,3,5,4,5,5,4,5,2,5,4,5,3,5,4,5,4,5,3,4,4,3,3,4,4,3,3,6,4,4
349,0,4,2,4,5,5,5,4,4,5,6,6,5,5,5,5,6,5,6,6,6,5,4,4,5,5,5,7,7,7,6,6,6,5,5
350,0,4,4,3,4,5,6,5,5,4,5,5,5,5,5,5,6,6,6,6,5,4,4,4,5,6,7,5,4,4,6,6,6,4,3
353,0,1,4,3,6,1,5,4,5,3,6,6,3,7,5,5,6,3,6,5,3,6,6,7,7,5,2,5,5,5,4,3,6,3,2
354,0,1,1,1,1,1,7,1,1,5,1,7,6,7,1,6,7,7,7,7,6,7,7,4,4,6,1,7,7,7,7,7,7,5,5
357,0,2,6,6,5,5,6,2,5,2,6,6,2,5,6,6,6,6,6,3,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5
358,0,1,6,2,4,4,7,1,4,1,4,7,2,7,6,4,6,4,4,5,5,6,2,7,7,4,2,2,2,2,3,3,3,3,3
359,0,2,6,3,1,3,7,2,4,2,1,7,4,7,1,1,4,6,5,4,7,6,4,6,6,6,6,4,3,3,5,5,6,6,4
360,0,5,3,2,4,5,6,4,5,6,4,3,5,6,5,5,4,3,4,5,6,5,4,3,5,5,6,5,4,3,4,5,6,4,3
361,0,5,5,2,5,5,5,5,4,6,6,6,5,4,6,5,5,6,6,5,3,6,4,6,6,6,6,5,6,6,6,6,5,6,2
362,0,6,2,2,7,6,7,7,6,2,7,6,6,6,7,6,5,6,7,7,7,6,6,6,6,6,6,6,6,7,7,7,6,6,6
363,0,5,3,2,3,2,5,3,5,1,5,2,6,3,5,5,2,6,3,5,3,5,2,5,2,5,2,5,2,5,3,6,4,6,2
364,0,5,5,4,2,5,3,4,3,3,6,5,3,5,4,5,5,6,4,5,5,3,2,5,5,5,6,6,4,5,5,3,4,6,5
365,0,2,2,4,1,2,7,2,2,1,1,7,1,7,5,5,6,6,6,6,3,5,5,7,7,1,1,5,5,6,6,6,6,5,6
366,0,2,4,2,7,5,4,5,2,4,7,7,1,7,6,4,3,6,7,7,5,7,7,4,6,4,1,3,2,2,1,2,2,2,3
368,0,5,2,3,6,5,5,5,5,6,5,6,5,5,6,6,7,6,6,6,7,6,7,6,7,6,7,6,6,6,7,6,6,7,6
371,0,4,6,5,4,3,4,4,1,3,1,3,4,1,1,3,4,5,4,5,4,1,1,1,1,1,1,1,3,1,3,4,4,5,4
373,0,1,1,1,7,1,7,1,1,4,7,7,1,7,7,6,6,5,7,7,6,1,7,7,7,7,7,6,5,6,6,6,6,5,6
374,0,2,2,2,5,6,6,1,4,1,5,7,1,6,2,6,7,7,7,6,3,7,2,4,4,7,6,5,5,5,6,6,6,2,2
375,0,1,6,3,6,2,7,2,3,5,6,6,4,6,7,6,7,7,7,7,6,7,7,7,7,2,5,7,7,7,7,6,7,7,7
378,0,1,3,2,6,1,6,1,5,4,6,6,1,6,6,5,6,5,6,6,2,7,3,4,7,7,2,7,7,7,4,2,3,2,1
380,0,1,4,2,7,1,6,1,1,1,6,7,1,6,5,7,7,7,7,7,7,5,1,7,7,7,2,6,5,6,6,6,6,6,4
381,0,1,7,1,7,1,7,1,2,1,7,6,1,6,7,6,7,7,6,2,2,7,5,4,7,6,2,6,5,5,6,5,5,2,4
382,0,6,2,4,3,4,3,5,3,3,5,5,2,4,4,5,6,4,4,4,6,4,3,5,5,3,3,6,4,3,5,5,2,5,5
385,0,1,3,2,5,1,7,1,1,1,6,7,1,6,6,1,6,7,5,6,2,7,7,4,7,1,7,6,6,6,6,6,6,5,5
387,0,4,3,2,6,4,6,3,3,4,6,6,4,6,6,4,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,6,3,2
388,0,1,7,7,6,4,7,5,7,5,7,7,6,7,1,7,4,5,3,6,4,5,6,2,7,3,6,3,7,7,7,2,5,4,6
389,0,1,1,1,7,1,7,1,1,1,7,7,1,7,7,7,7,7,7,7,5,6,7,4,7,7,7,7,7,7,7,7,7,4,4
390,0,5,4,5,5,6,5,2,3,4,2,6,3,3,1,6,6,2,2,5,2,5,1,1,4,6,6,4,4,3,2,2,2,1,1
391,0,1,4,2,2,1,7,1,1,2,6,6,5,6,6,5,6,5,6,4,3,7,5,4,1,7,7,6,6,7,2,4,2,2,6
392,0,2,2,5,4,1,5,2,5,4,3,4,2,4,4,4,5,6,5,6,5,7,6,4,5,4,4,5,5,5,4,5,4,4,2
393,0,1,6,2,6,1,6,2,2,1,6,5,1,5,5,7,7,5,6,7,5,7,7,7,7,7,7,7,6,6,5,5,5,2,2
394,0,3,2,2,1,2,5,1,1,1,1,7,1,7,4,6,7,7,7,7,6,6,5,7,7,7,7,1,1,1,7,7,7,6,1
395,0,3,4,2,2,2,7,2,6,6, ,6,5,7,2,5,6,5,6,5,6,2,2,2,7,3,6,5,5,6,5,6,5,6,6
396,0,4,4,3,4,4,5,4,5,4,4,6,4,5,5,5,5,6,6,5,5,6,6,6,6,7,5,6,6,6,6,6,6,5,1
397,0,6,3,2,5,6,5,6,6,4,4,4,5,4,5,6,6,5,6,6,5,6,6,5,6,5,5,5,6,5,6,5,5,6,5
398,0,1,1,5,1,1,4,1,1,1,1,6,1,5,3,5,6,5,6,7,6,6,5,7,7,7,2,6,5,5,6,6,6,3,2
399,0,1,1,3,5,6,5,4,6,3,5,6,3,5,3,6,6,6,6,5,5,6,1,7,7,3,1,3,3,3,6,6,6,2,4
400,0,5,1,1,5,5,7,7,6,7,5,7,5,7,5,7,7,7,7,7,1,7,7,7,7,7,5,6,2,2,7,5,5,5,6
