ParticipantID,ParticipantSex,ParticipantAge,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
21,1,30,5,1,14,25,1,7,4,4,4,4,4,6,4,4,4,4,5,4,6,5,2,7,7,5,5,5,5,6,4,5,5,5,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,4
23,1,30,1,1,28,1,0,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6,1,2,1,8,1,4,7,5,4,5,7,5,2,5,6,2,2,4,5,6,7,6,3,1,5,7,5,1,1
25,1,25,2,1,25,2,2,3,6,5,3,6,6,7,6,7,6,5,6,5,6,6,3,2,1,2,3,2,2,2,3,5,6,2,7,6,2,6,5,5,7,5,6,5,5,5,6,6,6,5,6
26,1,29,3,1,19,3,2,6,6,6,4,6,6,6,2,7,4,7,7,1,7,6,3,2,2,1,5,3,4,3,2,7,7,1,7,7,5,6,6,7,7,6,6,7,7,7,7,7,7,7,7
27,1,24,6,1,18,8,3,12,5,6,7,6,2,7,2,6,5,6,7,5,6,5,4,3,5,8,8,8,7,6,6,5,7,6,7,5,3,7,5,4,7,2,3,5,6,6,7,6,7,7,2
28,1,33,2,1,18,2,1,1,6,6,7,7,5,6,5,6,5,7,6,4,6,7,3,2,2,9,7,2,6,8,7,5,6,7,6,6,1,6,7,6,6,6,5,6,6,7,6,6,5,7,6
29,1,35,3,1,15,3,1,6,1,7,7,1,1,7,1,7,1,1,7,1,7,1,2,1,1,9,9,9,2,2,1,7,7,7,7,7,7,7,7,4,7,7,1,7,7,7,5,5,5,3,1
30,1,35,4,1,14,1,1,0,1,4,4,4,1,6,1,1,1,4,4,1,1,4,1,4,1,9,9,9,9,7,9,4,6,5,4,5,6,6,4,4,6,4,2,5,6,6,6,6,6,6,4
32,1,34,55,1,11,160,4,25,7,4,4,7,2,4,6,7,7,7,4,3,4,4,5,9,9,9,9,9,8,8,8,4,5,2,7,7,6,2,2,4,4,1,1,1,1,1,1,1,1,1,1
33,1,27,1,1,22,1,1,3,5,6,3,5,5,4,5,5,5,3,6,5,5,4,3,3,2,1,2,6,1,2,1,5,5,5,6,5,4,6,5,5,6,5,5,6,4,6,6,5,5,4,6
34,1,32,5,1,27,1,1,8,1,2,6,2,2,6,2,2,2,3,5,2,7,2,2,2,1,1,1,1,2,2,1,5,5,5,3,3,5,6,5,7,7,6,7,7,7,7,7,6,6,5,7
35,1,42,1,1,30,1,1,0,4,5,1,1,4,4,4,5,1,1,7,1,7,1,1,1,1,1,1,3,4,2,2,5,5,2,5,7,5,5,6,5,5,5,5,6,5,5,5,4,4,5,4
36,1,49,10,1,16,20,1,2,6,5,4,5,5,5,5,6,5,5,5,4,6,6,2,8,6,5,4,7,7,7,7,6,6,7,6,7,5,6,5,4,5,6,3,6,5,6,7,5,5,3,2
37,1,34,10,1,17,15,1,8,7,7,6,7,4,7,4,7,6,7,7,4,5,6,2,8,5,9,9,9,8,6,7,6,6,5,6,7,3,7,7,4,7,3,1,7,7,6,7,6,6,3,5
38,1,28,3,1,17,4,1,0,3,5,5,2,4,5,4,1,3,2,5,3,5,6,5,4,7,4,3,7,6,7,8,3,5,5,3,4,6,6,4,3,5,3,3,3,4,4,5,4,6,4,5
40,1,31,1,1,27,1,1,0,5,6,5,4,4,5,5,3,2,1,1,2,1,2,6,6,7,7,4,5,2,3,4,5,4,5,5,4,5,5,6,6,6,5,6,5,5,6,5,5,4,5,5
41,1,33,3,1,21,3,1,25,2,2,6,5,6,7,2,2,7,6,6,2,1,6,2,2,1,5,3,9,7,6,1,6,6,6,2,6,6,1,1,1,7,2,7,1,6,6,6,6,6,6,6
42,1,32,5,1,18,23,19,3,6,6,7,7,4,7,5,5,6,7,6,4,6,4,8,7,8,9,9,9,8,8,8,7,7,7,7,7,3,7,7,7,7,3,1,7,7,7,7,7,7,4,1
43,1,29,1,1,25,1,1,2,7,7,4,1,1,4,1,1,1,5,7,1,7,7,2,2,1,1,1,5,5,7,7,6,7,6,7,6,1,7,7,7,7,1,7,5,5,6,7,7,7,6,6
44,1,29,5,1,18,4,2,5,7,5,5,5,3,6,3,5,4,6,4,6,4,6,5,3,4,4,5,6,5,7,5,6,6,5,7,4,6,6,5,7,5,5,6,6,5,7,6,5,6,7,6
45,1,70,23,1,18,12,0,0,3,5,5,3,2,6,4,5,5,2,6,3,5,2,1,6,5,4,6,9,2,2,3,3,5,5,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2
46,1,45,1,1,24,1,1,8,1,1,1,1,1,1,1,1,1,1,6,1,6,2,2,1,1,1,1,1,1,1,1,6,6,7,6,6,6,4,6,7,7,1,7,4,6,4,4,4,5,4,4
47,1,32,3,1,21,1,1,7,1,1,5,7,5,5,2,6,5,5,4,2,5,6,2,1,1,2,6,5,9,9,9,5,6,6,6,5,5,7,6,7,7,7,7,6,5,4,6,4,5,4,5
48,1,65,5,1,17,200,3,2,5,7,7,4,1,5,2,6,4,3,4,4,4,5,4,9,9,9,9,9,3,2,8,7,7,6,7,7,6,6,6,1,6,6,1,1,1,1,2,2,2,1,1
49,1,36,30,1,18,5,5,3,7,6,7,6,1,1,1,5,3,6,6,7,6,7,2,2,3,6,6,7,4,3,4,5,4,3,3,2,2,7,7,6,6,6,6,5,6,5,6,5,5,6,2
50,1,23,3,1,17,2,1,14,5,6,3,5,5,3,5,5,5,5,4,4,5,5,4,6,7,6,5,5,6,7,6,5,5,6,3,6,5,5,5,5,3,3,6,5,4,4,5,5,4,4,5
52,1,32,7,1,17,12,1,15,5,6,6,5,3,6,4,2,4,6,6,4,6,4,2,3,1,6,3,3,6,5,5,6,6,4,6,6,5,6,6,4,7,6,5,6,6,6,5,5,5,4,1
53,1,40,15,1,18,23,1,9,3,7,5,1,1,7,1,2,2,1,5,1,5,3,2,3,7,9,9,9,7,5,5,6,6,7,5,7,4,7,7,4,7,7,2,7,7,7,6,3,5,4,4
54,1,51,7,1,16,7,1,0,5,7,7,7,1,5,1,7,1,7,7,1,7,7,2,2,5,9,9,9,8,6,6,6,7,7,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1
55,1,40,7,1,25,4,0,0,4,4,7,7,1,6,1,2,2,7,7,1,7,4,1,1,1,9,1,1,7,6,3,5,6,4,7,6,6,7,7,4,7,5,7,7,7,7,6,5,6,2,4
56,1,34,10,1,17,18,1,2,2,6,6,2,3,5,4,4,1,2,6,1,4,6,2,6,6,3,2,6, , , ,5,5,4,3,5,5,5,1,4,6,4,4,7,6,5,6,5,5,5,7
57,1,22,9,1,14,4,0,0,2,7,5,5,5,6,2,2,6,5,5,2,6,3,1,3,3,9,2,6,7,6,4,5,6,6,6,5,3,5,3,4,4,7,6,3,5,3,3,3,3,2,1
58,1,45,20,1,12,25,1,12,2,5,5,6,1,6,1,5,1,7,7,1,7,5,2,6,6,7,3,3,6,5,7,6,5,3,5,6,5,2,1,3,5,7,6,4,3,3,5,5,5,2,1
59,1,54,12,1,15,45,2,0,5,3,6,1,5,6,5,6,5,1,5,4,5,3,3,8,9,8,8,9,6,2,3,5,6,3,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1
60,1,66,6,1,24,13,1,5,2,3,4,4,3,6,4,5,3,4,6,2,5,4,2,7,8,7,9,8,9,7,9,5,3,1,5,5,7,7,7,7,6,3,2,3,3,2,3,5,3,2,2
61,1,76,45,1,18,25,0,0,5,5,4,1,6,4,5,5,5,1,4,5,4,1,1,8,8,8,8,8,6,5,6,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4
62,1,59,9,1,16,14,1,0,2,5,5,1,1,5,2,4,5,2,5,5,5,2,2,5,5,7,6,8,4,3,4,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4
63,1,35,10,1,15,12,1,8,1,6,7,5,1,5,1,6,2,5,5,2,5,2,2,3,5,8,8,8,4,2,2,5,5,5,7,4,4,7,4,7,7,6,3,6,5,5,5,5,5,3,1
64,1,46,7,1,20,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
65,1,48,3,1,20,3,1,0,1,1,2,7,1,7,1,5,3,7,4,1,4,5,2,1,1,8,1,1,7,2,4,5,7,5,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1
66,1,36,5,1,23,2,0,0,1,6,5,5,1,4,1,2,1,5,4,1,3,3,1,2,2,6,4,5,7,6,3,3,5,3,4,6,6,6,5,4,4,7,5,7,7,6,6,6,6,3,4
67,1,37,2,1,21,2,2,10,6,2,4,6,7,5,6,7,6,6,7,3,6,7,5,7,7,3,8,4, ,5,6,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6
68,1,28,6,1,18,4,1,1,7,4,5,5,2,4,2,6,2,6,7,2,7,7,2,2,2,8,6,8,9,9,9,4,6,3,6,6,5,1,1,7,5,7,6,2,1,1,6,6,4,3,5
69,1,53,1,1,19,1,1,5,1,4,5,2,1,1,1,1,1,1,4,1,4,1,2,2,2,1,1,1,6,6,6,5,5,5,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7
72,1,29,2,1,28,1,1,1,6,5,6,7,5,6,7,5,6,7,5,6,5,6,7,8,7,8,7,2,8,9,7,6,5,6,4,5,4,5,6,5,7,5,6,5,6,7,6,5,6,6,7
73,1,35,6,1,16,12,1,2,2,6,6,7,1,6,7,5,2,7,5,1,6,7,2,2,3,1,2,5,5,3,2,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6
74,1,69,5,1,18,3,1,2,1,5,5,1,1,5,1,5,1,1,7,2,7,5,2,3,2,3,3,3,1,1,2,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1
75,1,30,20,1,16,20,1,15,1,1,1,1,1,5,1,1,1,1,6,1,7,1,2,4,7,6,1,4,5,3,6,7,7,6,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1
76,1,30,5,1,16,16,1,10,2,2,6,6,2,6,2,6,5,6,7,4,6,6,2,5,6,9,9,9,8,7,6,6,6,7,7,7,2,7,7,4,7,5,1,7,7,7,7,7,7,6,5
77,1,25,4,1,19,2,1,2,6,4,3,6,5,6,5,4,6,3,4,5,5,2,2,2,2,7,6,5,7,6,7,5,4,3,5,6,5,4,3,5,6,5,3,3,5,6,6,4,5,3,5
78,1,34,2,1,21,2,0,0,3,3,5,6,2,3,3,3,2,5,4,2,4,2,1,1,1,8,8,8,4,4,2,5,5,3,5,6,5,6,4,4,4,4,2,3,2,2,3,2,2,1,1
79,1,27,4,1,18,10,2,15,6,4,7,7,1,7,1,6,7,7,7,4,7,7,3,1,6,7,8,9,4,4,3,7,7,6,7,5,4,7,1,4,7,1,4,7,7,7,7,7,7,4,1
80,1,63,10,1,19,15,1,12,2,2,6,4,2,6,2,5,6,6,7,2,7,7,2,4,6,1,1,5,4,5,3,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
81,1,33,3,1,17,3,1,4,4,5,3,3,2,2,4,4,2,1,4,5,5,3,2,1,1,8,6,7,4,5,7,4,3,2,4,6,5,4,3,2,4,4,3,5,4,3,1,3,4,5,3
82,1,38,5,1,32,1,1,5,3,4,5,4,2,6,4,4,5,4,4,5,4,3,2,2,2,4,5,5,1,6,2,5,6,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7
83,1,38,5,1,21,5,1,1,3,3,5,5,3,5,3,5,5,5,5,5,5,5,2,3,3,6,6,6,2,2,2,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
84,1,36,4,1,21,4,1,20,1,7,7,1,1,7,1,1,1,1,7,1,7,1,2,1,1,7,7,9,5,1,5,7,7,7,7,7,4,7,1,7,7,7,4,1,1,1,6,6,6,6,1
86,1,51,15,1,15,20,1,6,2,5,5,5,2,7,2,3,3,5,6,3,6,5,2,6,6,7,5,5,6,6,6,5,5,5,7,5,4,6,5,7,6,7,5,1,1,1,7,7,7,4,5
87,1,45,16,1,17,16,1,0,1,7,7,3,1,5,1,4,1,2,7,1,6,1,2,6,8,8,7,8,6,2,2,6,6,7,7,7,5,4,4,4,7,7,5,4,4,4,6,6,7,6,4
88,1,27,2,1,16,1,2,1,4,6,3,5,5,3,3,6,3,6,3,5,3,6,3,7,5,4,7,6,5,8,5,3,7,3,6,3,6,5,2,6,4,3,6,4,1,6,3,3,6,2,5
89,1,36,10,1,15,50,3,20,1,7,7,5,1,6,1,1,4,5,7,1,7,5,4,7,9,9,9,9,3,3,1,6,7,7,7,7,1,7,7,1,7,6,1,7,7,7,7,7,7,5,1
90,1,61,1,1,23,1,1,0,4,4,6,6,1,3,1,4,1,4,5,1,4,3,2,1,1,3,1,1,2,2,2,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
91,1,26,3,1,18,5,1,4,5,7,6,7,7,6,6,5,4,7,6,6,7,7,2,2,3,8,8,8,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
92,1,34,5,1,16,20,0,0,4,7,7,7,1,7,1,1,1,7,7,1,7,4,3,6,8,9,9,9,7,5,7,2,6,6,6,6,6,2,3,4,7,2,1,4,4,3,6,6,6,2,1
93,1,31,1,1,21,1,1,6,1,4,5,2,1,6,1,1,1,1,7,1,7,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,32,3,1,18,3,1,5,2,1,2,2,1,3,2,2,1,2,2,1,1,3,2,4,3,5,7,5,3,2,2,5,4,4,6,6,4,6,5,4,5,5,4,4,5,3,3,4,6,5,1
96,1,76,4,1,14,20,0,0,2,5,5,2,2,6,2,3,3,2,4,2,4,1,1,6,6,9,1,1,1,1,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
97,1,67,20,1,17,12,1,2,1,1,6,6,1,6,1,1,1,6,6,1,6,6,2,6,7,9,8,9,4,4,4,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
99,1,32,5,1,15,4,1,0,2,7,7,6,4,6,4,2,2,6,6,6,7,6,2,2,2,3,4,5,4,4,3,7,7,6,7,7,6,7,7,4,6,7,6,2,6,6,1,6,6,5,5
100,1,48,11,1,15, ,1,12,1,1,4,7,1,7,1,7,4,7,6,1,7,4,2,9,9,5,9,9,7,2,7,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
101,1,33,8,1,14,26,1,20,1,1,7,1,1,7,1,1,3,1,5,3,6,3,2,9,8,4,1,2,1,1,1,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6
102,1,49,6,1,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5,2,2,2,5,4,6,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5
103,1,33,15,1,15,9,1,25,1,1,6,2,1,5,1,2,1,4,6,1,5,5,2,2,4,8,8,6,7,6,3,5,5,5,6,6,6,7,7,4,7,7,5,3,6,6,5,6,6,2,4
104,1,27,3,1,19,2,1,3,1,5,6,4,5,6,1,2,4,4,6,1,6,2,2,2,1,3,1,2,2,2,1,6,6,5,6,7,7,4,4,4,6,7,7,5,4,4,5,3,3,1,1
106,1,29,5,1,15,5,1,30,6,5,5,6,6,7,5,3,3,4,5,5,5,4,6,2,2,1,3,3,5,6,7,4,5,5,3,4,4,5,5,6,6,5,6,5,5,4,4,6,7,5,5
107,1,36,7,1,16,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,2,3,2,3,2,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
109,1,25,4,1,19,2,1,5,1,1,7,2,1,5,1,1,1,2,7,1,7,3,2,1,1,3,1,1,1,1,1,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
110,1,29,1,1,28,1,1,3,6,4,6,4,3,6,7,6,4,7,6,4,7,5,1,1,1,5,3,8,4,2,4,6,5,7,4,6,1,4,6,4,7,6,4,7,6,4,3,6,5,4,6
111,1,25,2,1,19,2,2,3,6,4,4,5,4,5,5,6,4,5,5,5,6,5,3,2,2,5,8,7,6,6,6,5,6,5,4,5,5,5,5,6,6,4,5,5,5,5,4,5,5,6,6
112,1,49,6,1,21,6,1,0,2,6,7,7,1,7,1,6,1,7,4,1,4,2,2,1,1,4,3,5,7,7,7,7,7,6,7,5,3,3,5,7,4,7,2,6,3,3,6,5,5,1,1
113,1,28,2,1,27,2,1,1,5,6,5,2,5,6,6,7,6,6,4,5,2,3,2,2,3,3,5,1,2,3,2,6,7,5,3,7,2,5,5,6,6,6,5,6,7,6,6,4,5,6,5
114,1,36,8,1,12,6,1,6,5,5,5,3,3,6,6,6,5,5,5,5,5,6,2,6,6,9,9,9,8,7,7,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
115,1,36,5,1,17,5,1,1,7,2,7,6,7,6,6,5,7,4,7,5,7,4,1,5,5,4,5,8,2,2,4,5,6,3,6,4,6,4,7,6,5,6,5,5,6,4,5,4,6,4,5
116,1,30,2,1,20,2,2,5,6,7,5,4,6,7,6,5,6,5,5,3,4,6,3,3,3,8,8,1,6,5,6,6,7,7,7,6,5,6,6,5,7,5,6,7,6,6,5,7,7,5,5
117,1,28, ,1,13,4,1,4,5,4,7,6,5,6,7,7,7,5,7,6,6,4,2,3,3,2,4,8,7,5,7,4,6,5,7,7,5,6,6,3,6,7,7,3,5,5,7,3,6,5,7
119,1,38,10,1,15,15,2,6,4,5,4,2,4,6,3,4,2,2,4,2,5,3,3,5,6,9,5,8,4,4,4,5,6,6,7,6,2,7,2,4,7,7,3,7,6,6,7,6,6,4,4
120,1,57,6,1,18,10,0,0,6,6,5,7,2,3,5,6,2,7,5,1,7,5,1,6,6,7,8,9,8,3,6,5,6,6,6,7,5,6,2,4,6,3,1,6,5,5,5,5,5,6,6
121,1,26,12,1,15,13,1,0,6,6,7,7,7,7,4,7,6,7,7,5,7,6,2,6,6,9,9,9,9,9,9,6,6,7,7,6,2,7,5,1,5,7,1,6,7,7,7,7,7,5,1
122,2,26,2,1,25,1,1,3,5,3,5,3,4,6,5,6,7,3,7,4,6,7,3,3,2,8,6,3,5,7,6,6,5,6,6,5,3,6,6,7,7,7,5,7,5,4,6,6,7,5,4
123,2,24,1,1,23,1,1,1,6,5,3,4,5,3,4,5,3,5,6,4,2,4,6,4,2,3,4,4,8,4,5,6,4,3,4,5,6,5,3,4,5,6,5,3,4,5,4,6,5,3,4
124,2,42,5,1,17,8,1,1,1,7,4,6,1,4,1,1,4,6,4,1,4,6,2,3,3,9,9,5,3,3,3,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4
125,2,40,3,1,17,2,1,6,1,6,6,6,2,5,2,2,2,6,6,2,6,6,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6
126,2,44,3,1,20,2,1,8,2,5,3,2,2,7,2,2,1,2,6,1,6,2,2,2,2,2,1,2,3,2,2,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6
128,2,25,5,1,14,5,1,0,4,5,6,6,5,5,4,6,3,5,7,1,7,7,2,4,4,9,9,9,3,3,1,6,6,4,4,6,5,6,6,7,7,7,7,7,7,6, ,6,7,7,1
129,2,41,4,1,18,2,0,0,4,7,6,4,3,6,2,3,6,4,6,2,6,5,2,1,2,1,1,3,1,2,1,4,6,7,6,7,7,7,7,4,5,7,6,7,7,7,5,5,5,5,7
131,2,29,1,1,20,11,1,0,1,7,7,1,1,7,1,2,4,1,7,2,7,1,2,4,2,9,5,8,9,5,3,2,6,1,2,2,4,5,1,1,1,7,1,4,2,4,5,2,7,3,1
132,2,24,1,1,21,1,1,1,7,7,5,4,5,5,4,4,4,4,5,4,5,5,8,6,6,7,5,5,8,7,6,6,6,5,4,6,5,6,4,6,7,5,7,7,5,6,6,6,5,7,5
133,2,33,8,1,16,7,1,3,3,6,4,5,2,5,3,3,2,5,4,2,4,5,2,3,3,2,1,2,2,2,1,4,5,5,6,6,4,3,4,6,6,7,5,6,5,6,6,6,6,6,6
134,2,39,5,1,18,5,1,6,2,6,6,5,2,7,2,5,3,5,6,2,4,5,2,3,3,6,4,4,2,2,3,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5
135,2,43,4,1,15,4,1,8,3,1,1,1,1,6,2,1,4,1,6,3,6,1,2,4,1,1,1,1,6,5,1,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6
136,2,28,1,1,16,1,1,3,1,7,6,5,1,4,1,1,1,4,5,1,6,4,2,1,1,5,1,1,2,1,1,6,6,7,6,7,2,7,6,7,7,7,7,5,5,4,6,5,6,3,3
137,2,39,11,1,14,5,1,8,2,2,5,5,3,6,5,6,2,5,3,5,3,5,2,2,5,2,5,7,6,4,6,5,5,7,6,6,4,7,3,7,4,6,6,6,6,6,6,6,6,5,6
138,2,27,10,1,17,10,1,10,2,5,7,5,1,7,1,1,1,7,7,1,7,5,2,4,2,7,2,4,1,1,1,6,6,6,7,6,7,7,5,7,7,1,5,7,7,7,5,4,4,3,1
139,2,50,2,1,19,2,1,4,1,5,7,1,1,3,1,1,1,1,7,1,7,7,2,1,1,1,1,1,1,1,1,7,7,3,7,7,7,1,1,1,1,7,7,3,1,6,4,2,6,1,2
140,2,44,3,1,16,3,1,0,1,1,5,1,1,6,1,1,1,1,7,1,6,1,1,1,1,1,1,9,1,1,1,5,6,6,6,2,7,7,7,1,6,1,7,5,5,5,7,7,7,5,1
141,2,27,100,1,21,1,1,10,2,2,3,3,4,4,4,4,3,4,3,4,3,4,2,2,2,9,1,9,3,4,3,7,6,6,1,7,1,6,6,6,7,7,6,7,6,6,6,6,6,5,7
142,2,52,10,1,14,68,1,6,7,6,5,7,6,7,4,7,6,7,6,3,7,7,2,9,9,9,7,9,6,4,4,2,5,6,5,3,3,5,6,7,5,7,5,2,2,2,3,5,5,2,2
143,2,27,2,1,22,2,1,9,4,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,1,1,9,2,2,2,5,5,5,5,5,2,7,7,4,7,7,7,5,5,5,5,5,5,5,5
144,2,32,5,1,17,5,1,30,1,7,7,7,1,7,1,1,7,7,7,7,7,7,2,3,4,3,1,1,1,1,1,5,7,7,7,7,1,1,7,4,7,7,7,7,7,7,7,7,7,5,6
146,2,57,7,1,18,6,1,0,1,1,4,7,1,5,1,1,1,7,7,1,7,6,2,1,1,5,1,4,1,1,1,5,5,7,7,7,7,7,3,7,7,7,5,7,7,7,5,5,5,6,5
147,2,42,8,1,14,20,4,4,3,7,5,5,1,7,1,2,2,4,6,2,6,2,5,2,4,9,9,9,4,5,2,5,6,6,5,5,4,4,5,6,6,5,3,6,6,6,7,6,6,5,4
148,2,63,5,1,20,1,1,2,1,4,6,1,1,5,1,1,1,1,4,1,5,5,2,1,1,2,1,1,2,1,1,5,6,5,6,7,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6
149,2,38,5,1,14,20,1,4,2,6,4,5,1,5,1,1,1,7,4,1,3,6,2,8,7,6,2,3,5,1,2,3,6,2,2,5,6,2,5,7,7,7,6,5,2,7,3,3,2,1,1
